Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,221.020004,222.449997,220.000000,221.160004,209.598862,3485000
2018-01-03,221.619995,223.809998,220.520004,223.479996,211.797577,2417600
2018-01-04,224.339996,226.100006,224.169998,224.449997,212.716873,2749100
2018-01-05,225.190002,229.050003,224.720001,228.729996,216.773132,2432800
2018-01-08,228.130005,228.710007,224.610001,224.759995,213.010635,2850800
2018-01-09,224.759995,226.630005,223.300003,225.880005,214.072128,2672200
2018-01-10,224.830002,225.009995,223.029999,224.199997,212.479935,2311600
2018-01-11,224.179993,225.919998,223.699997,225.389999,213.607727,2543600
2018-01-12,227.449997,229.899994,226.520004,228.639999,216.687836,3943800
2018-01-16,233.369995,235.000000,231.250000,232.899994,220.725143,6852600
2018-01-17,234.669998,238.960007,233.850006,238.429993,225.966080,5124800
2018-01-18,239.259995,243.899994,238.550003,243.160004,230.448792,6234200
2018-01-19,244.179993,244.350006,241.070007,243.350006,230.628876,4293600
2018-01-22,243.589996,243.800003,241.360001,243.559998,230.827866,4012200
2018-01-23,242.990005,246.979996,242.410004,245.210007,232.391663,3300000
2018-01-24,246.009995,247.309998,243.710007,244.850006,232.050476,2733300
2018-01-25,244.750000,246.190002,243.899994,245.179993,232.363159,2420500
2018-01-26,245.000000,248.740005,244.460007,248.470001,235.481216,2615300
2018-01-29,249.279999,250.789993,247.399994,247.410004,234.476669,2564700
2018-01-30,232.880005,242.740005,232.100006,236.649994,224.279099,11565500
2018-01-31,242.839996,247.000000,235.759995,236.779999,224.402298,5187400
2018-02-01,235.259995,237.820007,233.830002,235.220001,222.923843,4268300
2018-02-02,233.000000,236.300003,231.190002,231.880005,219.758469,3959900
2018-02-05,230.789993,233.110001,208.479996,220.020004,208.518433,6290000
2018-02-06,212.199997,226.509995,210.210007,225.179993,213.408691,7064800
2018-02-07,222.330002,229.289993,221.509995,225.820007,214.015259,5589200
2018-02-08,225.330002,226.630005,216.259995,216.460007,205.144531,4902400
2018-02-09,218.000000,223.279999,212.009995,220.960007,209.409332,6225300
2018-02-12,222.440002,228.000000,222.149994,225.690002,213.892044,4912000
2018-02-13,223.149994,227.119995,222.389999,226.639999,214.792389,3536800
2018-02-14,224.949997,229.339996,223.919998,228.779999,216.820511,2878400
2018-02-15,229.270004,230.000000,221.740005,226.020004,214.204803,4662700
2018-02-16,225.990005,230.550003,225.699997,229.369995,217.379669,3621700
2018-02-20,227.910004,228.750000,225.610001,226.660004,214.811325,3172300
2018-02-21,226.149994,229.350006,225.110001,225.130005,213.361328,3371900
2018-02-22,226.300003,229.839996,225.080002,227.089996,215.218872,2767900
2018-02-23,227.899994,230.320007,225.910004,230.160004,218.128418,2393900
2018-02-26,231.639999,234.509995,229.699997,234.059998,221.824493,3307000
2018-02-27,234.399994,235.889999,232.440002,232.520004,220.365021,2899500
2018-02-28,234.419998,234.750000,226.089996,226.160004,214.337463,4368600
2018-03-01,225.699997,229.289993,222.740005,224.449997,212.716873,3514600
2018-03-02,223.210007,225.820007,222.589996,225.190002,213.418198,2613600
2018-03-05,223.369995,229.429993,222.789993,228.380005,216.441452,2627300
2018-03-06,228.919998,229.149994,223.889999,226.179993,214.356415,2652800
