Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,100.900002,107.930000,99.709999,106.089996,104.264641,2624500
2018-01-03,106.419998,107.660004,105.300003,107.050003,105.208130,2086800
2018-01-04,107.750000,111.529999,107.480003,111.000000,109.090164,2104500
2018-01-05,111.959999,113.150002,110.300003,112.180000,110.249847,1996700
2018-01-08,112.050003,112.290001,110.639999,111.389999,109.473450,1257100
2018-01-09,111.690002,111.690002,109.809998,110.489998,108.588913,1091400
2018-01-10,110.269997,112.000000,109.790001,110.589996,108.687195,711200
2018-01-11,110.699997,113.419998,108.900002,112.949997,111.006607,1015900
2018-01-12,114.379997,116.050003,113.019997,115.940002,113.945152,1579100
2018-01-16,116.760002,116.839996,112.860001,113.900002,111.940254,1498100
2018-01-17,114.739998,116.239998,112.980003,115.349998,113.365318,1354200
2018-01-18,115.669998,115.860001,113.660004,115.529999,113.542236,920900
2018-01-19,116.239998,117.510002,115.209999,117.019997,115.006577,1169900
2018-01-22,116.879997,118.190002,115.900002,118.029999,115.999207,1612100
2018-01-23,117.739998,119.139999,116.599998,119.099998,117.050789,1277000
2018-01-24,119.260002,121.239998,118.260002,120.989998,118.908264,1198600
2018-01-25,121.120003,121.339996,119.629997,120.919998,118.839470,1250700
2018-01-26,123.339996,123.900002,121.660004,123.639999,121.512672,1488400
2018-01-29,123.519997,123.629997,122.720001,122.889999,120.775581,1403700
2018-01-30,121.570000,122.699997,117.580002,119.269997,117.217865,1889700
2018-01-31,119.860001,120.470001,115.830002,116.989998,114.977104,1235700
2018-02-01,116.239998,118.830002,115.830002,117.290001,115.271927,760600
2018-02-02,115.919998,117.180000,113.129997,113.930000,111.969734,1092300
2018-02-05,113.050003,114.970001,109.809998,109.860001,107.969780,1281600
2018-02-06,108.279999,113.110001,106.750000,112.199997,110.269508,1240100
2018-02-07,112.089996,114.580002,109.900002,109.930000,108.038567,2163500
2018-02-08,109.930000,115.349998,109.300003,109.629997,107.743729,1549900
2018-02-09,110.389999,110.449997,103.339996,109.139999,107.262161,1577900
2018-02-12,109.800003,110.800003,108.050003,109.480003,107.596321,1181400
2018-02-13,109.169998,109.989998,105.959999,106.220001,104.392403,1392100
2018-02-14,105.500000,110.000000,105.260002,109.019997,107.144196,1106700
2018-02-15,109.230003,110.279999,107.570000,108.779999,106.908348,818400
2018-02-16,108.720001,109.339996,105.779999,107.570000,105.719170,946700
2018-02-20,107.400002,108.379997,103.720001,105.349998,103.537369,2369200
2018-02-21,116.959999,119.300003,113.230003,114.000000,112.038551,5545200
2018-02-22,115.099998,115.500000,110.199997,110.489998,108.588913,1465800
2018-02-23,111.150002,117.070000,111.080002,116.320000,114.318619,1504200
2018-02-26,116.500000,117.739998,112.080002,114.849998,112.873909,1409600
