Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,158.300003,159.389999,156.029999,157.039993,142.819702,5108400
2018-01-03,157.039993,157.490005,155.399994,157.279999,143.037949,4146100
2018-01-04,157.889999,159.580002,157.020004,159.440002,145.002365,4865800
2018-01-05,160.259995,162.050003,159.639999,161.960007,147.294189,3945400
2018-01-08,164.110001,166.429993,162.550003,166.029999,150.995636,5929200
2018-01-09,166.330002,167.410004,165.089996,166.429993,151.359421,4522900
2018-01-10,165.899994,167.529999,164.500000,165.869995,150.850113,5478600
2018-01-11,166.899994,169.529999,165.639999,169.199997,153.878586,4199000
2018-01-12,169.990005,170.669998,169.229996,170.300003,154.878983,4127900
2018-01-16,172.899994,173.240005,167.570007,169.309998,153.978622,8530600
2018-01-17,169.320007,170.110001,168.500000,168.500000,153.241974,5571400
2018-01-18,169.330002,170.759995,168.089996,168.830002,153.542099,4668800
2018-01-19,169.630005,170.449997,168.610001,170.410004,155.698318,5796700
2018-01-22,170.320007,170.910004,168.479996,170.889999,156.136902,3540900
2018-01-23,172.000000,172.050003,169.199997,169.429993,154.802948,5036500
2018-01-24,171.399994,172.449997,167.669998,168.339996,153.807022,8241000
2018-01-25,173.100006,173.100006,162.460007,169.369995,154.748123,16937100
2018-01-26,168.809998,169.000000,164.550003,167.059998,152.637527,9045300
2018-01-29,165.580002,165.880005,159.419998,162.580002,148.544327,9496800
2018-01-30,160.330002,164.710007,159.809998,163.759995,149.622437,8694800
2018-01-31,164.699997,165.789993,161.889999,162.779999,148.727051,7014000
2018-02-01,161.240005,163.740005,160.179993,162.240005,148.233643,4323600
2018-02-02,160.770004,160.800003,156.529999,157.490005,143.893723,7602800
2018-02-05,154.929993,158.929993,142.850006,151.080002,138.037109,11390500
2018-02-06,148.070007,156.559998,146.809998,156.410004,142.906982,13908700
2018-02-07,155.360001,158.089996,154.279999,154.339996,141.015640,7156500
2018-02-08,153.850006,154.190002,145.919998,145.990005,133.386566,9101900
2018-02-09,148.710007,150.889999,142.880005,149.210007,136.328552,9528100
2018-02-12,151.869995,153.449997,150.250000,152.289993,139.142670,5756800
2018-02-13,151.250000,155.199997,151.000000,153.970001,140.677628,5512100
2018-02-14,152.389999,158.589996,152.339996,158.059998,144.414536,5560100
2018-02-15,159.800003,160.339996,157.479996,159.979996,146.168793,4914500
2018-02-16,160.130005,161.000000,156.089996,156.289993,142.797333,5991600
2018-02-20,155.169998,158.250000,154.270004,155.559998,142.130356,5094600
2018-02-21,155.699997,158.399994,155.039993,155.229996,141.828842,4179400
2018-02-22,156.410004,159.779999,156.199997,158.860001,145.145462,4723300
2018-02-23,159.399994,162.479996,159.220001,162.410004,148.388992,4450800
2018-02-26,163.050003,164.050003,161.550003,163.690002,149.558487,6254400
2018-02-27,163.259995,164.600006,161.240005,161.259995,147.338242,4127700
2018-02-28,161.500000,162.339996,154.169998,154.630005,141.280640,7298600
2018-03-01,153.669998,156.190002,148.509995,150.229996,137.260498,9434800
2018-03-02,149.130005,149.880005,145.860001,146.380005,133.742859,9509400
2018-03-05,145.149994,151.860001,144.009995,151.119995,138.073669,8453000
2018-03-06,152.639999,154.979996,151.669998,153.750000,140.476639,5795600
2018-03-07,150.000000,152.270004,148.809998,151.509995,138.429993,5491000
2018-03-08,151.729996,153.970001,150.289993,153.589996,140.330444,4105000
2018-03-09,155.119995,158.419998,154.330002,158.250000,144.588104,4576700
2018-03-12,158.240005,159.339996,153.850006,154.500000,141.161865,4880400
2018-03-13,156.300003,157.869995,153.199997,153.690002,140.421783,4819100
2018-03-14,154.800003,155.250000,151.309998,152.539993,139.371063,4873600
2018-03-15,153.179993,155.589996,151.649994,154.570007,141.225845,5268800
2018-03-16,154.320007,157.449997,153.309998,156.460007,142.952682,10897600
2018-03-19,154.240005,154.830002,150.820007,152.149994,139.014725,5479200
2018-03-20,153.000000,155.199997,152.539993,154.059998,140.759857,3557600
2018-03-21,154.160004,157.279999,153.210007,155.800003,142.349655,3887400
