Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,107.629997,108.019997,106.809998,107.949997,96.912292,13578800
2018-01-03,107.860001,108.489998,107.480003,108.059998,97.011055,11901000
2018-01-04,108.360001,110.029999,108.199997,109.040001,98.400772,12953700
2018-01-05,109.260002,109.550003,107.779999,108.339996,97.769089,14155000
2018-01-08,108.150002,108.680000,107.699997,108.500000,97.913467,12466500
2018-01-09,108.720001,109.629997,108.489998,109.050003,98.409828,13292300
2018-01-10,109.470001,110.699997,109.389999,110.250000,99.492722,15834500
2018-01-11,110.669998,110.930000,110.050003,110.839996,100.025169,13676800
2018-01-12,111.650002,112.849998,110.839996,112.669998,101.676605,18884200
2018-01-16,111.510002,113.430000,111.070000,112.269997,101.315628,22703300
2018-01-17,111.889999,113.300003,111.309998,112.989998,101.965378,14940300
2018-01-18,112.760002,113.720001,112.269997,113.260002,102.209045,14572900
2018-01-19,113.940002,114.339996,112.800003,113.010002,101.983437,18785500
2018-01-22,112.660004,114.389999,112.500000,114.330002,103.174637,12475700
2018-01-23,113.669998,114.639999,113.349998,114.209999,103.066353,12320800
2018-01-24,114.860001,116.000000,114.660004,115.669998,104.383896,15904500
2018-01-25,116.040001,116.169998,115.080002,115.699997,104.410965,13510000
2018-01-26,115.699997,116.320000,114.959999,116.320000,104.970459,13883900
2018-01-29,116.019997,117.349998,116.019997,116.199997,104.862183,11679900
2018-01-30,115.529999,116.599998,114.980003,115.110001,103.878532,14279100
2018-01-31,115.650002,116.660004,115.160004,115.669998,104.383896,13141400
2018-02-01,115.769997,116.989998,115.480003,116.870003,105.466805,13800600
2018-02-02,116.489998,116.919998,114.089996,114.279999,103.129509,16477300
2018-02-05,113.000000,114.589996,103.980003,108.800003,98.184212,30097600
2018-02-06,106.849998,112.480003,106.610001,112.110001,101.171257,33114800
2018-02-07,111.550003,114.449997,111.150002,112.870003,101.857094,21878300
2018-02-08,113.110001,113.110001,107.839996,107.879997,97.353966,27425800
2018-02-09,109.099998,111.050003,106.230003,110.040001,99.303223,28188000
2018-02-12,111.169998,112.730003,110.070000,111.739998,100.837364,18043300
2018-02-13,111.320000,113.050003,110.800003,112.430000,101.460030,16358200
2018-02-14,112.629997,115.269997,112.529999,115.029999,103.806335,15186900
2018-02-15,115.739998,115.989998,114.220001,115.510002,104.239510,12130200
2018-02-16,114.550003,116.070000,114.500000,114.680000,103.490486,13214300
2018-02-20,114.650002,115.389999,113.970001,114.709999,103.517555,13461500
2018-02-21,115.000000,117.449997,114.669998,115.190002,103.950737,14212500
2018-02-22,115.500000,116.430000,114.760002,114.980003,103.761200,17070400
2018-02-23,115.309998,117.389999,115.309998,117.309998,105.863876,12162500
2018-02-26,118.139999,118.900002,117.320000,118.769997,107.181404,16511200
2018-02-27,118.910004,119.330002,117.349998,117.360001,105.908997,17563300
2018-02-28,117.820000,118.489998,115.339996,115.500000,104.230484,17735600
2018-03-01,115.480003,116.639999,112.650002,113.430000,102.362450,18690000
2018-03-02,112.389999,113.559998,111.120003,113.320000,102.263184,18353700
2018-03-05,112.050003,115.930000,111.889999,115.059998,103.833412,13933000
2018-03-06,115.639999,115.820000,114.320000,115.160004,103.923676,10674400
2018-03-07,113.750000,115.099998,113.110001,114.730003,103.535629,13006500
2018-03-08,115.110001,115.230003,113.209999,114.739998,103.544647,11173700
2018-03-09,116.550003,118.080002,115.669998,118.040001,106.522644,15366600
2018-03-12,118.000000,118.750000,117.250000,117.660004,106.179733,12339300
2018-03-13,118.199997,118.470001,115.830002,116.250000,104.907295,13312300
2018-03-14,116.559998,116.589996,114.599998,114.949997,103.734131,12905100
2018-03-15,115.870003,116.000000,114.830002,115.239998,103.995842,8748000
2018-03-16,115.339996,116.599998,115.339996,115.440002,104.176331,19888900
2018-03-19,115.099998,115.449997,113.300003,114.529999,103.355133,13214900
2018-03-20,114.870003,115.449997,114.449997,114.639999,103.454384,9921200
2018-03-21,114.809998,116.629997,114.209999,114.739998,103.544647,13633000
2018-03-22,113.199997,113.599998,109.540001,109.949997,99.222000,22550400
2018-03-23,110.269997,110.919998,106.760002,107.010002,96.568863,23081500
2018-03-26,109.190002,111.160004,108.650002,110.309998,99.546875,20217500
2018-03-27,111.070000,111.690002,107.300003,108.169998,97.615677,18039900
2018-03-28,108.279999,109.169998,106.650002,108.000000,97.462273,19189300
2018-03-29,108.500000,110.779999,107.779999,109.970001,99.240051,13274600
2018-04-02,109.959999,110.730003,106.080002,107.849998,97.326897,18822500
2018-04-03,108.360001,109.500000,107.260002,109.330002,98.662483,14050700
2018-04-04,107.099998,111.209999,107.019997,110.989998,100.160507,15302600
2018-04-05,111.629997,112.830002,111.389999,111.879997,101.475677,16627000
2018-04-06,110.550003,111.550003,107.820000,109.089996,98.945137,18906000
2018-04-09,110.010002,112.980003,109.889999,110.400002,100.133316,15974300
2018-04-10,112.129997,112.870003,111.419998,112.510002,102.047104,13951400
2018-04-11,111.660004,111.809998,110.519997,110.620003,100.332870,14503300
2018-04-12,111.559998,114.389999,111.500000,113.370003,102.827118,16435500
2018-04-13,115.019997,115.150002,109.050003,110.300003,100.042625,39152800
2018-04-16,110.940002,111.470001,109.790001,110.209999,99.960991,16580500
2018-04-17,111.370003,111.919998,109.989998,110.209999,99.960991,15501400
2018-04-18,110.529999,111.070000,108.889999,109.320000,99.153755,16081400
2018-04-19,109.529999,111.870003,109.500000,111.720001,101.330566,17911000
2018-04-20,112.300003,112.739998,110.879997,111.470001,101.103806,15584400
