Date,Open,High,Low,Close,Adj Close,Volume
2011-01-03,28.700001,28.700001,27.680000,27.799999,21.489054,1443600
2011-01-04,27.799999,28.299999,26.969999,28.000000,21.643656,1626200
2011-01-05,27.850000,28.170000,27.750000,27.990000,21.635925,953700
2011-01-06,28.040001,28.530001,27.770000,28.520000,22.045605,959800
2011-01-07,28.469999,28.510000,27.780001,28.280001,21.860094,877400
2011-01-10,28.260000,29.100000,27.930000,28.900000,22.339342,1538500
2011-01-11,29.139999,29.260000,28.840000,29.240000,22.602158,1354900
2011-01-12,29.280001,29.330000,28.020000,28.170000,21.775063,1559900
2011-01-13,28.400000,28.660000,28.020000,28.350000,21.914200,964500
2011-01-14,28.340000,29.059999,28.000000,29.010000,22.424376,977600
2011-01-18,27.650000,27.889999,27.230000,27.750000,21.450411,10018200
2011-01-19,28.000000,28.500000,27.510000,27.760000,21.458136,2979500
2011-01-20,27.690001,27.820000,27.280001,27.700001,21.411758,2096300
2011-01-21,27.990000,28.170000,27.660000,27.770000,21.465866,1249000
2011-01-24,28.219999,28.219999,27.580000,28.090000,21.713223,2149500
2011-01-25,28.150000,28.150000,27.400000,28.020000,21.659115,1454800
2011-01-26,28.129999,28.379999,27.799999,28.250000,21.836903,1520900
2011-01-27,28.420000,29.440001,28.420000,29.219999,22.586700,3730200
2011-01-28,29.299999,29.360001,27.870001,28.049999,21.682297,1372200
2011-01-31,28.040001,28.879999,27.950001,28.709999,22.192478,1310400
2011-02-01,28.920000,29.500000,28.760000,29.070000,22.470757,1583500
2011-02-02,29.020000,29.400000,28.700001,28.799999,22.262045,1130000
2011-02-03,28.780001,29.580000,28.600000,29.410000,22.733566,1232600
2011-02-04,29.790001,31.219999,29.719999,31.200001,24.117218,2550000
2011-02-07,31.170000,31.480000,30.559999,30.790001,23.800283,976200
2011-02-08,31.400000,32.250000,31.000000,31.910000,24.666035,3468400
2011-02-09,31.930000,32.950001,31.750000,32.770000,25.330805,4291600
2011-02-10,32.990002,33.000000,32.150002,32.480000,25.106646,3504300
2011-02-11,32.529999,33.349998,32.320000,33.290001,25.732756,2772500
2011-02-14,33.580002,34.349998,33.580002,34.040001,26.312500,2599700
2011-02-15,33.889999,34.259998,33.419998,33.709999,26.057415,1978800
2011-02-16,33.910000,34.599998,33.810001,34.380001,26.575323,1260500
2011-02-17,34.330002,34.419998,33.310001,33.630001,25.995571,3438700
2011-02-18,33.770000,34.070000,33.630001,33.849998,26.165636,1563900
2011-02-22,33.240002,33.240002,32.130001,32.599998,25.199390,2011800
2011-02-23,32.980000,33.000000,30.920000,31.340000,24.225433,3327200
2011-02-24,31.850000,34.119999,31.660000,33.980000,26.266117,3533100
2011-02-25,34.240002,34.590000,33.799999,34.360001,26.559862,1913200
2011-02-28,34.340000,34.529999,33.490002,33.990002,26.273855,1626300
