Date,Open,High,Low,Close,Adj Close,Volume
2011-01-03,3.880000,3.992500,3.875000,3.955000,3.634190,81744800
2011-01-04,3.962500,3.980000,3.855000,3.942500,3.622703,65138400
2011-01-05,4.015000,4.250000,3.975000,4.245000,3.900666,142821600
2011-01-06,4.355000,4.835000,4.342500,4.832500,4.440510,349331200
2011-01-07,4.777500,4.982500,4.670000,4.967500,4.564562,257998400
2011-01-10,4.877500,5.167500,4.840000,5.157500,4.739149,175034800
2011-01-11,5.227500,5.277500,4.967500,5.077500,4.665637,271108800
2011-01-12,5.080000,5.842500,5.062500,5.837500,5.363991,343189600
2011-01-13,5.775000,5.960000,5.595000,5.847500,5.373181,269519200
2011-01-14,5.747500,5.995000,5.712500,5.897500,5.419123,159535200
2011-01-18,5.817500,5.857500,5.617500,5.760000,5.292777,181334800
2011-01-19,5.762500,5.900000,5.590000,5.602500,5.148053,119789600
2011-01-20,5.547500,5.640000,5.447500,5.607500,5.152647,111140800
2011-01-21,5.667500,5.747500,5.545000,5.555000,5.104405,73924400
2011-01-24,5.810000,6.262500,5.745000,6.182500,5.681005,205690000
2011-01-25,6.155000,6.220000,5.952500,5.992500,5.506418,108685600
2011-01-26,6.055000,6.250000,6.012500,6.135000,5.637359,107466000
2011-01-27,6.222500,6.237500,6.000000,6.117500,5.621278,65739600
2011-01-28,6.132500,6.235000,5.800000,5.940000,5.458177,109479600
2011-01-31,5.950000,6.062500,5.852500,5.980000,5.494930,75016000
2011-02-01,6.032500,6.162500,5.992500,6.117500,5.621278,65410400
2011-02-02,6.082500,6.542500,6.082500,6.395000,5.876269,160661600
2011-02-03,6.405000,6.405000,6.137500,6.275000,5.766002,103077600
2011-02-04,6.362500,6.467500,6.337500,6.417500,5.896945,87290000
2011-02-07,6.330000,6.357500,6.127500,6.150000,5.651142,93423600
2011-02-08,6.157500,6.197500,5.940000,5.967500,5.483445,107658400
2011-02-09,5.990000,6.050000,5.715000,5.822500,5.350208,127752000
2011-02-10,5.692500,5.802500,5.650000,5.705000,5.242238,104235200
2011-02-11,5.685000,6.052500,5.592500,5.867500,5.391557,135927600
2011-02-14,5.937500,6.125000,5.755000,5.777500,5.308859,128782800
2011-02-15,5.787500,5.807500,5.612500,5.637500,5.180214,88698000
2011-02-16,5.712500,5.927500,5.692500,5.845000,5.370881,131836400
2011-02-17,5.680000,6.502500,5.652500,6.420000,5.899241,347009600
2011-02-18,6.385000,6.487500,6.307500,6.407500,5.887754,139441200
2011-02-22,6.197500,6.215000,5.782500,5.802500,5.331831,139664800
2011-02-23,5.802500,5.857500,5.445000,5.527500,5.079136,149160400
2011-02-24,5.555000,5.760000,5.515000,5.662500,5.203186,124612000
2011-02-25,5.815000,5.875000,5.735000,5.780000,5.311153,77565200
2011-02-28,5.875000,5.877500,5.535000,5.665000,5.205482,90369600
2011-03-01,5.675000,5.747500,5.412500,5.412500,4.973466,98844800
2011-03-02,5.405000,5.507500,5.062500,5.187500,4.766716,171814000
2011-03-03,5.307500,5.337500,5.060000,5.217500,4.794281,159370400
2011-03-04,5.222500,5.275000,5.132500,5.190000,4.769013,95976000
2011-03-07,5.227500,5.245000,4.987500,5.117500,4.702394,101914000
2011-03-08,5.172500,5.200000,4.780000,4.887500,4.491050,194718400
2011-03-09,4.872500,4.920000,4.742500,4.785000,4.396865,131897600
2011-03-10,4.675000,4.710000,4.475000,4.480000,4.116605,172273600
