Date,Open,High,Low,Close,Adj Close,Volume
2012-01-03,14.621429,14.732143,14.607143,14.686786,12.610315,302220800
2012-01-04,14.642857,14.810000,14.617143,14.765714,12.678085,260022000
2012-01-05,14.819643,14.948214,14.738214,14.929643,12.818838,271269600
2012-01-06,14.991786,15.098214,14.972143,15.085714,12.952841,318292800
2012-01-09,15.196429,15.276786,15.048214,15.061786,12.932299,394024400
2012-01-10,15.211071,15.214286,15.053571,15.115714,12.978598,258196400
2012-01-11,15.095714,15.101786,14.975357,15.091071,12.957439,215084800
2012-01-12,15.081429,15.103571,14.955357,15.049643,12.921870,212587200
2012-01-13,14.989286,15.016071,14.952143,14.993214,12.873419,226021600
2012-01-17,15.150000,15.213929,15.105714,15.167857,13.023372,242897200
2012-01-18,15.248571,15.338214,15.225000,15.325357,13.158601,276791200
2012-01-19,15.362500,15.406071,15.232500,15.276786,13.116899,261738400
2012-01-20,15.267500,15.267857,14.991071,15.010714,12.888445,413974400
2012-01-23,15.095357,15.301786,15.082143,15.264643,13.106473,306062400
2012-01-24,15.182143,15.182143,14.983929,15.014643,12.891819,547638000
2012-01-25,16.230000,16.230356,15.847500,15.952143,13.696772,958314000
2012-01-26,16.012857,16.028214,15.826429,15.879643,13.634522,323985200
2012-01-27,15.869286,16.017143,15.848929,15.974286,13.715785,299709200
2012-01-30,15.918214,16.210714,15.906786,16.178928,13.891493,379341200
2012-01-31,16.271070,16.365713,16.181070,16.302856,13.997898,391683600
2012-02-01,16.371786,16.392500,16.269644,16.292500,13.989008,270046000
2012-02-02,16.282143,16.327499,16.213572,16.254286,13.956196,186796400
2012-02-03,16.332144,16.428572,16.270000,16.417143,14.096029,286599600
2012-02-06,16.370714,16.606428,16.364286,16.570356,14.227582,249412800
2012-02-07,16.616072,16.776787,16.592142,16.743929,14.376613,316223600
2012-02-08,16.803572,17.028214,16.775000,17.024286,14.617332,407890000
2012-02-09,17.170000,17.741072,17.162857,17.613214,15.122992,884214800
2012-02-10,17.534286,17.772142,17.448214,17.622143,15.130662,631302000
2012-02-13,17.840357,17.993929,17.753214,17.950001,15.412166,517216000
2012-02-14,18.023571,18.198570,17.928572,18.195000,15.622524,460398400
2012-02-15,18.366428,18.796070,17.746071,17.773930,15.260991,1506120000
2012-02-16,17.553572,18.031786,17.379642,17.936071,15.400205,944552000
2012-02-17,17.968214,18.134644,17.867857,17.932858,15.397447,535805200
2012-02-21,18.102858,18.387501,18.004286,18.387501,15.787808,605595200
2012-02-22,18.324286,18.410357,18.181070,18.322857,15.732303,483302400
2012-02-23,18.395714,18.493929,18.196428,18.442499,15.835028,568027600
2012-02-24,18.559643,18.674999,18.522858,18.657499,16.019630,415072000
2012-02-27,18.618214,18.875000,18.438572,18.777143,16.122364,547582000
2012-02-28,18.855715,19.121786,18.780357,19.121786,16.418282,600387200
2012-02-29,19.341429,19.557501,19.132143,19.372856,16.633852,952011200
2012-03-01,19.577499,19.578930,19.241785,19.445356,16.696102,683270000
2012-03-02,19.437143,19.528570,19.375713,19.470715,16.717873,431712400
2012-03-05,19.479286,19.552856,18.785713,19.041430,16.349285,809124400
2012-03-06,18.702143,19.060356,18.436428,18.937857,16.260357,810238800
