Date,Open,High,Low,Close,Adj Close,Volume
2012-05-18,42.049999,45.000000,38.000000,38.230000,38.230000,573576400
2012-05-21,36.529999,36.660000,33.000000,34.029999,34.029999,168192700
2012-05-22,32.610001,33.590000,30.940001,31.000000,31.000000,101786600
2012-05-23,31.370001,32.500000,31.360001,32.000000,32.000000,73600000
2012-05-24,32.950001,33.209999,31.770000,33.029999,33.029999,50237200
2012-05-25,32.900002,32.950001,31.110001,31.910000,31.910000,37149800
2012-05-29,31.480000,31.690001,28.650000,28.840000,28.840000,78063400
2012-05-30,28.700001,29.549999,27.860001,28.190001,28.190001,57267900
2012-05-31,28.549999,29.670000,26.830000,29.600000,29.600000,111639200
2012-06-01,28.889999,29.150000,27.389999,27.719999,27.719999,41855500
2012-06-04,27.200001,27.650000,26.440001,26.900000,26.900000,35230300
2012-06-05,26.700001,27.760000,25.750000,25.870001,25.870001,42473400
2012-06-06,26.070000,27.170000,25.520000,26.809999,26.809999,61489200
2012-06-07,27.000000,27.350000,26.150000,26.309999,26.309999,26159500
2012-06-08,26.549999,27.760000,26.440001,27.100000,27.100000,38034000
2012-06-11,27.180000,28.070000,26.840000,27.010000,27.010000,28219600
2012-06-12,27.480000,27.770000,26.959999,27.400000,27.400000,15816800
2012-06-13,27.660000,28.100000,27.100000,27.270000,27.270000,17102800
2012-06-14,27.650000,28.320000,27.379999,28.290001,28.290001,16855000
2012-06-15,28.510000,30.100000,28.350000,30.010000,30.010000,43563800
2012-06-18,29.959999,32.080002,29.410000,31.410000,31.410000,42978900
2012-06-19,31.540001,32.180000,30.700001,31.910000,31.910000,30849000
2012-06-20,31.920000,31.930000,31.150000,31.600000,31.600000,15553600
2012-06-21,31.670000,32.500000,31.510000,31.840000,31.840000,21875300
2012-06-22,32.410000,33.450001,32.060001,33.049999,33.049999,74834000
2012-06-25,32.860001,33.020000,31.549999,32.060001,32.060001,24352900
2012-06-26,32.689999,33.439999,32.500000,33.099998,33.099998,24858700
2012-06-27,32.459999,32.900002,31.900000,32.230000,32.230000,28568000
2012-06-28,31.959999,32.189999,30.900000,31.360001,31.360001,17713300
2012-06-29,31.920000,31.990000,30.760000,31.100000,31.100000,19526900
2012-07-02,31.250000,31.730000,30.549999,30.770000,30.770000,14122000
2012-07-03,30.910000,31.440001,30.799999,31.200001,31.200001,8763600
2012-07-05,31.320000,31.629999,31.020000,31.469999,31.469999,10032100
2012-07-06,31.440001,31.900000,31.260000,31.730000,31.730000,10945600
2012-07-09,32.099998,32.880001,31.990000,32.169998,32.169998,17785200
2012-07-10,32.430000,32.480000,31.160000,31.469999,31.469999,14269500
2012-07-11,31.480000,31.559999,30.549999,30.969999,30.969999,13030300
2012-07-12,30.700001,31.400000,30.600000,30.809999,30.809999,11300700
2012-07-13,31.040001,31.070000,30.559999,30.719999,30.719999,8108300
2012-07-16,30.500000,30.500000,28.209999,28.250000,28.250000,24672100
2012-07-17,28.480000,28.590000,27.150000,28.090000,28.090000,30438600
2012-07-18,28.309999,29.290001,28.150000,29.110001,29.110001,16841800
2012-07-19,29.410000,29.500000,28.629999,29.000000,29.000000,13685100
2012-07-20,29.000000,29.469999,28.719999,28.760000,28.760000,11869100
2012-07-23,28.120001,29.000000,28.010000,28.750000,28.750000,12390700
2012-07-24,28.820000,29.450001,28.100000,28.450001,28.450001,11539800
2012-07-25,28.389999,29.490000,28.080000,29.340000,29.340000,17230200
2012-07-26,27.750000,28.230000,26.730000,26.850000,26.850000,64597400
2012-07-27,23.190001,24.540001,22.280001,23.709999,23.709999,123102300
2012-07-30,24.000000,24.040001,23.030001,23.150000,23.150000,29285900
2012-07-31,23.370001,23.370001,21.610001,21.709999,21.709999,56179400
2012-08-01,21.500000,21.580000,20.840000,20.879999,20.879999,44604400
2012-08-02,20.770000,20.840000,19.820000,20.040001,20.040001,56374500
2012-08-03,20.360001,22.160000,19.900000,21.090000,21.090000,80647000
2012-08-06,21.389999,22.150000,21.299999,21.920000,21.920000,27778900
2012-08-07,22.200001,22.450001,20.500000,20.719999,20.719999,36782900
2012-08-08,20.709999,21.150000,20.219999,20.719999,20.719999,29537400
2012-08-09,20.750000,21.170000,20.610001,21.010000,21.010000,15610700
2012-08-10,21.410000,21.820000,21.129999,21.809999,21.809999,25794700
2012-08-13,22.150000,22.450001,21.400000,21.600000,21.600000,24973100
2012-08-14,21.410000,21.600000,20.250000,20.379999,20.379999,39308800
2012-08-15,20.639999,21.410000,20.400000,21.200001,21.200001,47861100
2012-08-16,20.440001,20.480000,19.690001,19.870001,19.870001,157565300
2012-08-17,20.010000,20.080000,19.000000,19.049999,19.049999,129293400
2012-08-20,19.049999,20.129999,18.750000,20.010000,20.010000,101186600
2012-08-21,19.580000,19.980000,19.090000,19.160000,19.160000,70640600
2012-08-22,19.360001,19.530001,18.959999,19.440001,19.440001,49892200
2012-08-23,19.500000,19.730000,19.360001,19.440001,19.440001,32813700
2012-08-24,19.520000,19.680000,19.250000,19.410000,19.410000,29622200
2012-08-27,19.490000,19.530001,19.100000,19.150000,19.150000,20704000
2012-08-28,19.100000,19.379999,18.950001,19.340000,19.340000,25417000
2012-08-29,19.320000,19.379999,19.070000,19.100000,19.100000,16124700
2012-08-30,19.270000,19.450001,19.059999,19.090000,19.090000,30647500
2012-08-31,18.680000,18.700001,18.030001,18.059999,18.059999,58764200
2012-09-04,18.080000,18.270000,17.549999,17.730000,17.730000,46622400
2012-09-05,18.270000,18.750000,18.180000,18.580000,18.580000,60781800
2012-09-06,18.740000,19.260000,18.719999,18.959999,18.959999,46066500
2012-09-07,19.100000,19.420000,18.780001,18.980000,18.980000,36371700
2012-09-10,19.059999,19.200001,18.549999,18.809999,18.809999,24797800
2012-09-11,18.920000,19.580000,18.850000,19.430000,19.430000,50508200
2012-09-12,20.760000,21.160000,20.280001,20.930000,20.930000,121584000
2012-09-13,20.959999,21.480000,20.610001,20.709999,20.709999,65041600
2012-09-14,21.129999,22.080000,20.900000,22.000000,22.000000,72819800
2012-09-17,22.670000,22.750000,21.500000,21.520000,21.520000,50667600
2012-09-18,21.600000,21.980000,21.370001,21.870001,21.870001,36760500
2012-09-19,21.990000,23.370001,21.770000,23.290001,23.290001,78782800
2012-09-20,23.020000,23.240000,22.540001,22.590000,22.590000,57248900
2012-09-21,22.969999,23.240000,22.600000,22.860001,22.860001,51218100
2012-09-24,21.780001,21.980000,20.360001,20.790001,20.790001,79106500
2012-09-25,21.200001,21.209999,20.219999,20.280001,20.280001,46291700
2012-09-26,20.150000,20.780001,19.799999,20.620001,20.620001,38271900
2012-09-27,20.990000,21.000000,20.160000,20.320000,20.320000,30215900
2012-09-28,20.570000,21.950001,20.500000,21.660000,21.660000,65486000
2012-10-01,22.080000,22.590000,21.730000,21.990000,21.990000,51262700
2012-10-02,22.080000,22.490000,21.820000,22.270000,22.270000,29341400
2012-10-03,22.299999,22.490000,21.799999,21.830000,21.830000,32000100
2012-10-04,22.320000,22.400000,21.410000,21.950001,21.950001,46892100
2012-10-05,21.490000,21.629999,20.879999,20.910000,20.910000,40529300
2012-10-08,20.400000,20.750000,20.160000,20.400000,20.400000,32236700
2012-10-09,20.389999,20.549999,19.969999,20.230000,20.230000,27161800
2012-10-10,19.930000,19.940001,19.450001,19.639999,19.639999,39321800
2012-10-11,19.879999,19.959999,19.610001,19.750000,19.750000,21817300
2012-10-12,19.750000,19.799999,19.480000,19.520000,19.520000,18809400
2012-10-15,19.680000,19.879999,19.490000,19.520000,19.520000,20189700
2012-10-16,19.680000,19.690001,19.299999,19.480000,19.480000,21834700
2012-10-17,19.500000,20.480000,19.370001,19.879999,19.879999,44074500
2012-10-18,19.700001,19.790001,18.889999,18.980000,18.980000,52157400
2012-10-19,19.000000,19.059999,18.799999,19.000000,19.000000,34835000
2012-10-22,19.200001,19.430000,19.049999,19.320000,19.320000,32447300
2012-10-23,19.250000,19.799999,19.100000,19.500000,19.500000,78381200
2012-10-24,24.129999,24.250000,22.850000,23.230000,23.230000,228949900
2012-10-25,23.290001,23.309999,22.469999,22.559999,22.559999,76142000
2012-10-26,22.400000,22.879999,21.879999,21.940001,21.940001,73175800
2012-10-31,20.820000,21.500000,20.730000,21.110001,21.110001,99378200
2012-11-01,21.080000,21.440001,21.010000,21.209999,21.209999,37713900
2012-11-02,21.260000,21.690001,21.070000,21.180000,21.180000,38344400
2012-11-05,21.100000,21.480000,20.920000,21.250000,21.250000,31806700
2012-11-06,21.240000,21.370001,20.990000,21.170000,21.170000,29062700
2012-11-07,20.850000,20.950001,20.370001,20.469999,20.469999,33396800
2012-11-08,20.520000,20.730000,19.980000,19.990000,19.990000,34254600
2012-11-09,19.959999,20.000000,19.129999,19.209999,19.209999,42295500
2012-11-12,19.150000,20.170000,18.870001,20.070000,20.070000,67349200
2012-11-13,19.610001,20.110001,19.559999,19.860001,19.860001,71775100
2012-11-14,20.100000,22.500000,19.930000,22.360001,22.360001,229751000
2012-11-15,22.340000,22.500000,21.650000,22.170000,22.170000,78857700
2012-11-16,22.250000,23.930000,22.180000,23.559999,23.559999,107182200
2012-11-19,23.959999,24.120001,22.820000,22.920000,22.920000,85021300
2012-11-20,22.730000,23.900000,22.700001,23.100000,23.100000,46655300
2012-11-21,23.219999,24.530001,23.049999,24.320000,24.320000,89862400
2012-11-23,24.580000,24.680000,23.879999,24.000000,24.000000,29520900
2012-11-26,24.940001,26.090000,24.809999,25.940001,25.940001,123865000
2012-11-27,26.040001,26.500000,25.459999,26.150000,26.150000,85760600
2012-11-28,25.940001,26.490000,25.750000,26.360001,26.360001,49205600
2012-11-29,26.500000,27.520000,26.160000,27.320000,27.320000,88759700
2012-11-30,27.260000,28.000000,26.760000,28.000000,28.000000,127049600
2012-12-03,28.000000,28.879999,26.980000,27.040001,27.040001,123526100
2012-12-04,27.059999,27.760000,26.680000,27.459999,27.459999,72869200
2012-12-05,27.750000,27.900000,27.260000,27.709999,27.709999,58976300
2012-12-06,27.680000,27.750000,26.820000,26.969999,26.969999,46001500
2012-12-07,27.070000,27.780001,26.840000,27.490000,27.490000,51751900
2012-12-10,27.170000,28.170000,27.100000,27.840000,27.840000,50608500
2012-12-11,28.070000,28.240000,27.660000,27.980000,27.980000,77099100
2012-12-12,28.000000,28.139999,27.370001,27.580000,27.580000,46704200
2012-12-13,27.590000,28.750000,27.430000,28.240000,28.240000,81051600
2012-12-14,28.180000,28.330000,26.760000,26.809999,26.809999,91631600
2012-12-17,26.770000,27.000000,26.320000,26.750000,26.750000,57742500
2012-12-18,26.959999,27.910000,26.900000,27.709999,27.709999,60512900
2012-12-19,27.830000,28.219999,26.950001,27.410000,27.410000,61390300
2012-12-20,27.490000,27.600000,27.129999,27.360001,27.360001,35574800
2012-12-21,26.660000,27.010000,26.120001,26.260000,26.260000,54555200
2012-12-24,26.500000,26.959999,26.200001,26.930000,26.930000,28230100
2012-12-26,27.030001,27.180000,26.379999,26.510000,26.510000,33175400
2012-12-27,26.549999,26.799999,25.520000,26.049999,26.049999,43481700
2012-12-28,25.480000,26.110001,25.150000,25.910000,25.910000,56574800
