Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,131.720001,132.399994,128.440002,130.330002,130.330002,496300
2015-01-05,132.190002,132.990005,128.970001,129.759995,129.759995,1355100
2015-01-06,128.000000,129.470001,126.690002,126.730003,126.730003,958500
2015-01-07,127.550003,129.429993,127.260002,128.350006,128.350006,666000
2015-01-08,129.800003,131.070007,128.729996,129.649994,129.649994,1092000
2015-01-09,129.820007,130.550003,128.309998,129.889999,129.889999,722500
2015-01-12,130.449997,130.449997,127.379997,127.919998,127.919998,665300
2015-01-13,128.669998,132.220001,127.489998,128.669998,128.669998,848500
2015-01-14,125.059998,126.050003,122.110001,125.599998,125.599998,1375200
2015-01-15,126.599998,127.669998,124.110001,124.220001,124.220001,869900
2015-01-16,124.459999,126.449997,123.970001,126.290001,126.290001,790700
2015-01-20,127.260002,127.300003,125.199997,126.250000,126.250000,1017400
2015-01-21,126.750000,127.669998,125.120003,125.949997,125.949997,3366800
2015-01-22,108.650002,114.620003,108.599998,113.400002,113.400002,9268900
2015-01-23,113.150002,115.300003,112.500000,114.849998,114.849998,2103100
2015-01-26,114.550003,114.870003,111.849998,114.300003,114.300003,1497200
2015-01-27,112.699997,114.629997,112.050003,113.190002,113.190002,1201000
2015-01-28,114.669998,115.139999,112.839996,112.839996,112.839996,1895200
2015-01-29,112.570000,114.489998,111.620003,113.980003,113.980003,1348700
2015-01-30,113.230003,114.730003,111.379997,111.620003,111.620003,1073600
2015-02-02,110.290001,112.900002,110.099998,112.610001,112.610001,1310400
2015-02-03,112.610001,113.550003,110.839996,112.349998,112.349998,1004200
2015-02-04,112.180000,112.620003,109.720001,110.099998,110.099998,1627100
2015-02-05,110.040001,111.220001,109.190002,111.080002,111.080002,1351800
2015-02-06,111.239998,112.800003,110.589996,111.989998,111.989998,1087800
2015-02-09,111.779999,112.489998,110.349998,110.449997,110.449997,831500
2015-02-10,111.199997,113.309998,110.529999,112.860001,112.860001,1150500
2015-02-11,113.120003,114.559998,112.440002,113.769997,113.769997,1100700
2015-02-12,114.709999,115.779999,114.040001,115.269997,115.269997,1050800
2015-02-13,115.500000,116.820000,114.720001,116.639999,116.639999,778400
2015-02-17,116.870003,117.599998,115.050003,116.430000,116.430000,894600
2015-02-18,116.440002,118.080002,115.889999,117.620003,117.620003,892100
2015-02-19,117.209999,118.839996,116.370003,118.320000,118.320000,671300
2015-02-20,117.949997,119.820000,117.180000,119.360001,119.360001,739800
2015-02-23,119.820000,119.820000,117.849998,118.529999,118.529999,671300
2015-02-24,118.529999,119.730003,118.000000,119.599998,119.599998,741900
2015-02-25,119.389999,120.660004,118.239998,118.830002,118.830002,919300
2015-02-26,119.190002,120.370003,118.199997,119.040001,119.040001,662600
2015-02-27,119.220001,120.059998,118.019997,118.120003,118.120003,664500
2015-03-02,118.559998,119.559998,117.419998,119.559998,119.559998,651100
2015-03-03,119.309998,119.309998,117.699997,119.010002,119.010002,1052100
2015-03-04,119.279999,119.550003,118.500000,119.239998,119.239998,761400
2015-03-05,119.730003,119.970001,118.980003,119.220001,119.220001,843800
2015-03-06,118.800003,119.680000,117.620003,117.959999,117.959999,1074000
2015-03-09,115.559998,115.830002,112.959999,114.830002,114.830002,1841200
2015-03-10,113.900002,114.230003,112.290001,112.290001,112.290001,1111000
2015-03-11,112.589996,113.370003,111.750000,112.900002,112.900002,818500
2015-03-12,113.760002,113.760002,111.900002,113.040001,113.040001,1014900
2015-03-13,113.239998,113.239998,111.419998,112.360001,112.360001,1007500
2015-03-16,113.309998,113.970001,112.440002,113.269997,113.269997,983800
2015-03-17,112.589996,113.239998,111.980003,112.589996,112.589996,566200
2015-03-18,112.349998,114.849998,111.540001,114.269997,114.269997,853400
2015-03-19,114.800003,116.160004,114.500000,114.559998,114.559998,1034900
2015-03-20,115.180000,116.489998,114.540001,116.349998,116.349998,1587800
2015-03-23,116.690002,116.879997,115.260002,115.419998,115.419998,897000
2015-03-24,115.699997,116.050003,114.370003,115.019997,115.019997,1127400
2015-03-25,114.930000,115.550003,112.889999,112.900002,112.900002,1246200
2015-03-26,112.070000,112.919998,111.070000,112.230003,112.230003,830900
2015-03-27,112.720001,114.199997,112.010002,113.870003,113.870003,700200
2015-03-30,114.129997,115.389999,113.220001,115.260002,115.260002,714500
2015-03-31,114.879997,115.459999,114.110001,114.940002,114.940002,759700
2015-04-01,114.610001,114.860001,113.500000,114.309998,114.309998,892100
2015-04-02,114.209999,114.750000,113.410004,113.709999,113.709999,699400
2015-04-06,113.010002,113.410004,111.330002,111.739998,111.739998,1437000
2015-04-07,112.080002,113.879997,111.809998,113.120003,113.120003,1108700
2015-04-08,112.930000,114.410004,112.580002,113.430000,113.430000,1223400
2015-04-09,113.860001,116.820000,113.300003,116.089996,116.089996,1244600
2015-04-10,114.889999,116.010002,113.519997,113.820000,113.820000,1932800
2015-04-13,113.949997,115.790001,113.459999,113.639999,113.639999,1100700
2015-04-14,113.440002,114.550003,113.239998,113.339996,113.339996,901600
2015-04-15,113.820000,117.570000,113.470001,117.110001,117.110001,1422000
2015-04-16,116.839996,118.669998,116.419998,118.089996,118.089996,834900
2015-04-17,117.120003,117.589996,115.419998,116.220001,116.220001,2991900
2015-04-20,116.970001,117.669998,115.830002,117.430000,117.430000,1371600
2015-04-21,118.250000,119.239998,118.040001,118.930000,118.930000,1113900
2015-04-22,119.430000,120.529999,118.559998,120.419998,120.419998,1742300
