Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,55.384998,55.507500,54.875000,55.252499,52.309597,10654000
2014-01-03,55.437500,55.622501,55.057499,55.290001,52.345089,7809600
2014-01-06,55.294998,55.577499,54.897499,54.957500,52.030308,8577600
2014-01-07,55.187500,55.527500,55.115002,55.377499,52.427937,8178000
2014-01-08,55.355000,55.750000,55.160000,55.555000,52.595985,8487200
2014-01-09,55.887501,56.130001,55.415001,55.477501,52.522606,8386400
2014-01-10,55.459999,55.685001,55.002499,55.282501,52.338005,6429600
2014-01-13,55.505001,56.047501,54.652500,54.724998,51.810188,13554400
2014-01-14,54.685001,55.662498,54.582500,55.662498,52.697765,10851600
2014-01-15,55.712502,56.224998,55.457500,55.939999,52.960468,11288000
2014-01-16,55.797501,55.939999,55.322498,55.442501,52.489487,13514000
2014-01-17,55.512501,58.064999,55.509998,58.044998,54.953350,38344400
2014-01-21,58.597500,58.875000,57.705002,57.982498,54.894180,19752400
2014-01-22,58.099998,58.455002,57.919998,58.247501,55.145084,7254400
2014-01-23,57.915001,58.082500,56.915001,57.062500,54.023182,13662400
2014-01-24,56.599998,56.740002,55.312500,55.312500,52.366398,16043200
2014-01-27,55.517502,55.517502,53.779999,54.055000,51.175877,19470800
2014-01-28,54.404999,55.590000,54.349998,55.240002,52.297760,17852400
2014-01-29,54.775002,55.185001,54.125000,54.279999,51.388893,16800000
2014-01-30,56.437500,56.500000,54.077499,55.220001,52.278824,20040400
2014-01-31,54.032501,54.724998,53.777500,53.857498,50.988899,24457200
2014-02-03,54.127499,54.459999,53.017502,53.367500,50.525005,21662400
2014-02-04,53.540001,53.970001,52.845001,53.634998,50.778244,14913600
2014-02-05,53.310001,54.185001,53.279999,53.902500,51.031494,13520800
2014-02-06,54.020000,54.752499,53.945000,54.752499,51.836227,12721600
2014-02-07,55.047501,55.500000,54.615002,55.445000,52.491840,12537200
2014-02-10,55.472500,55.532501,54.997501,55.137501,52.200733,10316800
2014-02-11,55.282501,55.722500,55.012501,55.582500,52.622028,9809600
2014-02-12,55.860001,56.224998,55.722500,56.042500,53.153141,14650800
2014-02-13,55.712502,56.187500,55.615002,56.012501,53.124691,13158800
2014-02-14,56.067501,56.560001,55.877499,56.500000,53.587055,12682000
2014-02-18,56.619999,57.119999,56.404999,56.514999,53.601280,13427200
2014-02-19,56.467499,56.947498,55.919998,55.970001,53.084385,9322000
2014-02-20,56.040001,56.242500,55.647499,55.865002,52.984787,8810000
2014-02-21,55.932499,56.167500,55.744999,55.840000,52.961094,9136000
2014-02-24,55.932499,56.857498,55.867500,56.547501,53.632099,10817200
2014-02-25,56.547501,57.107498,56.372501,56.777500,53.850250,11339600
2014-02-26,56.807499,56.974998,56.314999,56.527500,53.613136,10413600
2014-02-27,56.547501,56.950001,56.400002,56.570000,53.653450,8097600
2014-02-28,56.617500,56.997501,55.174999,56.485001,53.572838,14004000
2014-03-03,55.810001,56.009998,54.897499,55.360001,52.505836,16422800
2014-03-04,56.287498,56.492500,55.645000,56.375000,53.468498,14884800
2014-03-05,56.404999,56.450001,55.575001,55.702499,52.830681,11328400
2014-03-06,55.939999,56.517502,55.830002,55.965000,53.079647,9120400
2014-03-07,56.237499,56.432499,55.884998,56.389999,53.482723,8971200
2014-03-10,56.377499,56.592499,56.180000,56.375000,53.468498,7350400
2014-03-11,56.487499,57.097500,56.157501,56.794998,53.866856,11062800
2014-03-12,56.529999,56.919998,56.322498,56.525002,53.610764,9394800
2014-03-13,56.665001,56.872501,55.107498,55.195000,52.349346,11996400
2014-03-14,55.154999,55.480000,54.639999,55.192501,52.346973,13692000
2014-03-17,55.497501,55.970001,55.345001,55.945000,53.060673,8800000
2014-03-18,56.150002,56.692501,55.812500,56.602501,53.684273,8304800
2014-03-19,56.652500,56.772499,55.500000,55.955002,53.070148,7888800
2014-03-20,56.029999,56.029999,55.227501,55.455002,52.595936,11890000
2014-03-21,55.742500,58.167500,54.924999,55.842499,52.963459,38092400
2014-03-24,56.347500,56.557499,54.775002,55.187500,52.342236,18228400
2014-03-25,55.547501,55.759998,54.599998,54.599998,51.785015,11675200
2014-03-26,54.987499,55.047501,53.919998,53.919998,51.140072,10657200
2014-03-27,53.722500,54.042500,53.262501,53.942501,51.161404,10489600
2014-03-28,53.619999,54.084999,52.630001,53.022499,50.288853,14950000
2014-03-31,53.197498,53.965000,52.917500,53.965000,51.182751,11639200
2014-04-01,54.270000,54.540001,53.637501,53.674999,50.907700,9090400
2014-04-02,53.695000,54.125000,53.342499,53.665001,50.898228,9344800
2014-04-03,53.947498,54.070000,53.345001,53.752499,50.981205,14210400
2014-04-04,53.892502,53.927502,51.437500,51.924999,49.247936,24449200
2014-04-07,51.695000,51.860001,50.255001,50.852501,48.230721,40124000
2014-04-08,50.705002,51.480000,50.500000,50.647499,48.036293,21745600
2014-04-09,51.145000,51.945000,50.654999,51.884998,49.210003,19142800
2014-04-10,52.064999,52.267502,50.037498,50.387501,47.789700,20403600
2014-04-11,49.807499,50.000000,48.709999,49.157501,46.623116,29939600
2014-04-14,49.950001,50.487499,49.502499,50.252499,47.661663,20925600
2014-04-15,50.959999,51.235001,49.792500,51.012501,48.382477,19214000
2014-04-16,51.750000,52.389999,51.369999,52.340000,49.641537,15832800
2014-04-17,52.584999,52.884998,51.987499,51.987499,49.307201,13364000
2014-04-21,52.244999,52.375000,52.097500,52.282501,49.587006,10012400
2014-04-22,52.334999,52.645000,52.132500,52.492500,49.786175,9840000
2014-04-23,52.575001,52.575001,52.000000,52.205002,49.513504,8819600
2014-04-24,52.450001,52.625000,51.897499,52.349998,49.651012,13547200
2014-04-25,50.000000,50.950001,49.639999,49.732498,47.168465,38239200
2014-04-28,49.875000,50.482498,49.752499,50.355000,47.758881,24263200
2014-04-29,50.472500,51.012501,50.447498,50.667500,48.055267,12760000
2014-04-30,50.564999,50.910000,50.474998,50.652500,48.041039,12145600
2014-05-01,51.025002,51.827499,50.840000,51.522499,48.866173,14273200
2014-05-02,51.435001,51.775002,51.000000,51.105000,48.470203,10908800
2014-05-05,50.937500,51.970001,50.750000,51.782501,49.112782,13792800
