Date,Open,High,Low,Close,Adj Close,Volume
2014-04-15,17.900000,17.920000,15.150000,15.350000,15.350000,3531700
2014-04-16,15.350000,16.090000,15.210000,15.620000,15.620000,266500
2014-04-17,15.950000,16.549999,15.710000,16.250000,16.250000,262100
2014-04-21,16.590000,16.590000,16.010000,16.100000,16.100000,78000
2014-04-22,16.200001,16.688999,15.760000,15.980000,15.980000,96100
2014-04-23,15.820000,16.180000,15.800000,16.070000,16.070000,56500
2014-04-24,16.280001,16.299999,15.750000,15.750000,15.750000,42800
2014-04-25,15.750000,15.750000,15.250000,15.300000,15.300000,71600
2014-04-28,15.430000,15.660000,14.510000,14.970000,14.970000,197500
2014-04-29,15.010000,15.450000,15.010000,15.280000,15.280000,68500
2014-04-30,15.170000,15.510000,15.060000,15.410000,15.410000,53600
2014-05-01,15.290000,15.900000,15.290000,15.670000,15.670000,39900
2014-05-02,15.690000,16.056000,15.690000,15.800000,15.800000,22300
2014-05-05,15.690000,15.990000,15.678000,15.680000,15.680000,13300
2014-05-06,15.630000,15.630000,15.250000,15.310000,15.310000,31900
2014-05-07,15.260000,15.290000,14.950000,15.050000,15.050000,92600
2014-05-08,15.250000,15.328000,15.180000,15.180000,15.180000,18600
2014-05-09,15.120000,15.170000,14.120000,14.510000,14.510000,76000
2014-05-12,14.730000,14.870000,14.090000,14.090000,14.090000,111200
2014-05-13,14.570000,14.872000,13.675000,13.870000,13.870000,90800
2014-05-14,14.150000,14.290000,13.910000,14.070000,14.070000,105600
2014-05-15,14.000000,14.310000,13.610000,14.290000,14.290000,110100
2014-05-16,14.290000,14.680000,13.570000,13.810000,13.810000,119700
2014-05-19,13.850000,13.850000,13.100000,13.240000,13.240000,202500
2014-05-20,13.500000,14.300000,13.370000,14.000000,14.000000,141100
2014-05-21,14.250000,14.250000,13.870000,14.000000,14.000000,47400
2014-05-22,13.910000,15.610000,13.845000,15.380000,15.380000,85300
2014-05-23,15.350000,15.350000,14.310000,14.530000,14.530000,352700
2014-05-27,14.570000,14.810000,13.760000,14.030000,14.030000,68100
2014-05-28,14.080000,14.080000,13.120000,13.250000,13.250000,244000
2014-05-29,13.450000,13.820000,13.430000,13.480000,13.480000,64600
2014-05-30,13.410000,13.525000,13.240000,13.350000,13.350000,76100
2014-06-02,13.490000,13.830000,13.175000,13.540000,13.540000,47600
2014-06-03,13.740000,14.110000,13.430000,14.030000,14.030000,84800
2014-06-04,14.000000,14.443000,13.590000,14.300000,14.300000,73700
2014-06-05,13.010000,14.430000,13.010000,14.170000,14.170000,67600
2014-06-06,14.330000,14.500000,13.890000,14.450000,14.450000,42500
2014-06-09,14.450000,14.675000,14.190000,14.640000,14.640000,104500
2014-06-10,14.650000,14.670000,14.350000,14.430000,14.430000,59700
2014-06-11,14.350000,14.540000,14.250000,14.460000,14.460000,24900
2014-06-12,14.460000,14.470000,13.913000,13.970000,13.970000,120500
2014-06-13,14.070000,14.070000,13.400000,14.000000,14.000000,65100
2014-06-16,14.570000,14.610000,14.246000,14.440000,14.440000,106800
2014-06-17,14.340000,14.376000,13.450000,14.000000,14.000000,98200
2014-06-18,13.790000,14.390000,13.720000,14.170000,14.170000,78400
2014-06-19,14.130000,14.300000,14.120000,14.290000,14.290000,55100
2014-06-20,14.360000,14.710000,14.120000,14.120000,14.120000,186900
2014-06-23,14.200000,14.650000,14.090000,14.640000,14.640000,58600
2014-06-24,14.560000,15.000000,14.500000,14.700000,14.700000,130300
2014-06-25,14.650000,14.740000,14.170000,14.720000,14.720000,59200
2014-06-26,14.680000,15.160000,14.560000,14.720000,14.720000,91900
2014-06-27,14.840000,15.220000,13.980000,13.980000,13.980000,767300
2014-06-30,14.270000,14.660000,13.910000,14.590000,14.590000,169500
2014-07-01,14.620000,14.737000,14.160000,14.600000,14.600000,56100
2014-07-02,14.540000,14.570000,14.200000,14.250000,14.250000,52400
2014-07-03,14.270000,14.720000,14.270000,14.680000,14.680000,23300
2014-07-07,14.550000,14.665000,14.010000,14.020000,14.020000,65800
2014-07-08,14.000000,14.130000,13.380000,13.430000,13.430000,113900
2014-07-09,13.440000,13.609000,13.280000,13.420000,13.420000,53600
2014-07-10,13.250000,13.440000,13.250000,13.300000,13.300000,83600
2014-07-11,13.250000,13.330000,13.020000,13.030000,13.030000,62700
2014-07-14,13.050000,13.750000,13.020000,13.290000,13.290000,130100
2014-07-15,13.230000,13.250000,12.640000,12.970000,12.970000,87000
2014-07-16,13.000000,13.055000,12.800000,12.850000,12.850000,91300
2014-07-17,12.790000,13.040000,12.320000,12.410000,12.410000,79200
2014-07-18,12.340000,12.620000,12.282000,12.480000,12.480000,24100
2014-07-21,12.450000,12.870000,12.280000,12.780000,12.780000,37800
2014-07-22,12.870000,12.870000,12.550000,12.620000,12.620000,19900
2014-07-23,12.690000,12.980000,12.593000,12.840000,12.840000,17700
2014-07-24,12.920000,13.120000,12.920000,13.000000,13.000000,95700
2014-07-25,13.230000,13.460000,12.910000,13.000000,13.000000,142500
2014-07-28,12.950000,13.040000,12.750000,12.960000,12.960000,54000
2014-07-29,13.060000,13.094000,12.790000,12.880000,12.880000,34700
2014-07-30,13.096000,13.096000,12.839000,13.000000,13.000000,56500
2014-07-31,12.910000,13.002000,12.650000,12.780000,12.780000,41600
2014-08-01,12.840000,12.902000,12.350000,12.650000,12.650000,61400
2014-08-04,12.770000,12.770000,12.500000,12.690000,12.690000,48900
