Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,558.288269,559.434448,554.684692,557.117126,557.117126,3639100
2014-01-03,558.058044,559.024048,553.018005,553.053040,553.053040,3330000
2014-01-06,557.062073,559.989990,553.773804,559.219238,559.219238,3535000
2014-01-07,563.063049,570.415405,561.141113,570.000000,570.000000,5100000
2014-01-08,573.573547,574.234253,567.212219,571.186157,571.186157,4480500
2014-01-09,572.292297,572.682678,563.343323,565.685669,565.685669,4164800
2014-01-10,570.110107,570.110107,561.686707,565.655640,565.655640,4282700
2014-01-13,563.798828,574.029053,559.144165,562.052063,562.052063,4832900
2014-01-14,569.544556,576.076050,564.609619,575.275269,575.275269,4960200
2014-01-15,577.072083,578.078064,572.467468,574.884888,574.884888,3896400
2014-01-16,575.125122,579.544556,574.574585,578.688660,578.688660,3364400
2014-01-17,579.004028,580.895874,572.672668,575.840820,575.840820,5397100
2014-01-21,581.046021,582.582581,576.226196,582.432434,582.432434,3955800
2014-01-22,583.888916,584.529541,580.010010,583.093079,583.093079,3139600
2014-01-23,580.580566,581.826843,577.762756,580.630615,580.630615,3894300
2014-01-24,576.081055,577.352356,562.062073,562.477478,562.477478,7777200
2014-01-27,563.613586,563.813843,541.676697,551.166138,551.166138,8698400
2014-01-28,555.715698,563.438416,555.525513,562.067078,562.067078,4415900
2014-01-29,560.120117,561.436462,550.260254,554.014038,554.014038,4755000
2014-01-30,573.073059,576.821838,564.189209,568.263245,568.263245,10172600
2014-01-31,586.261292,593.863892,576.141113,591.076050,591.076050,11121400
2014-02-03,590.190186,591.451477,566.571594,567.282288,567.282288,9129000
2014-02-04,569.564575,578.078064,569.074097,569.649658,569.649658,5618100
2014-02-05,572.262268,575.960938,564.574585,572.172180,572.172180,4784200
2014-02-06,576.141113,580.660645,574.349365,580.560547,580.560547,3889300
2014-02-07,584.399414,589.539551,580.860840,589.309326,589.309326,5267100
2014-02-10,586.486511,591.791809,585.095093,587.052063,587.052063,3886500
2014-02-11,590.675659,596.531555,586.691711,595.685669,595.685669,4097400
2014-02-12,595.095093,595.595581,591.281311,593.938965,593.938965,3445500
2014-02-13,590.965942,600.550537,590.420410,600.550537,600.550537,3669100
2014-02-14,598.403381,602.797791,596.997009,602.002014,602.002014,4369000
2014-02-18,601.306335,607.042053,600.600586,606.046021,606.046021,4213500
2014-02-19,603.253235,605.215210,599.349365,601.771790,601.771790,4202900
2014-02-20,602.172180,604.049072,600.710693,602.657654,602.657654,3398100
2014-02-21,604.509521,605.540527,602.022034,602.497498,602.497498,3720800
2014-02-24,603.283264,610.690674,603.153137,606.861877,606.861877,3345200
2014-02-25,608.578552,612.862854,605.815796,610.610596,610.610596,2874500
2014-02-26,612.612610,615.055054,607.487488,610.695679,610.695679,3960400
2014-02-27,609.804810,612.727722,609.114136,610.215210,610.215210,2517400
2014-02-28,610.780762,612.707703,603.713684,608.433411,608.433411,4622500
2014-03-03,603.979004,604.524536,596.666687,601.946960,601.946960,4205300
2014-03-04,608.108093,608.608582,605.355347,608.063049,608.063049,2932400
2014-03-05,608.133118,612.152161,606.311340,609.739746,609.739746,2468100
2014-03-06,611.751770,613.688660,609.909912,610.415405,610.415405,2533600
2014-03-07,614.014038,614.109131,606.326355,608.002991,608.002991,3027100
2014-03-10,608.453430,609.429443,602.647644,606.391418,606.391418,2426700
2014-03-11,607.492493,607.767761,598.918945,600.595581,600.595581,3422500
2014-03-12,598.798828,604.529541,592.687683,604.254272,604.254272,3924600
2014-03-13,604.579590,605.855835,592.972961,595.125122,595.125122,4686500
2014-03-14,591.586609,596.031006,586.851868,586.987000,586.987000,4583200
2014-03-17,590.215210,599.134155,589.644653,596.646667,596.646667,4319800
2014-03-18,597.932922,606.371399,597.127136,606.236206,606.236206,3626300
2014-03-19,606.506531,606.601624,597.802795,600.225220,600.225220,3222500
2014-03-20,600.575562,605.410400,598.278259,599.179199,599.179199,3366000
2014-03-21,603.758789,605.420410,591.816833,592.112122,592.112122,6410500
2014-03-24,592.687683,593.043030,573.548523,579.544556,579.544556,6068100
2014-03-25,583.583557,585.505493,574.074097,579.939941,579.939941,4815500
2014-03-26,581.586609,586.371399,566.316345,566.551575,566.551575,5154800
2014-03-27,565.990967,566.536560,551.601624,557.697693,557.697693,7636700
2014-03-28,560.060059,567.162170,559.444458,560.635620,560.635620,4513200
2014-03-31,565.765747,568.068054,556.981995,557.812805,557.812805,3880700
2014-04-01,560.695679,569.319336,559.559570,568.013000,568.013000,4357600
2014-04-02,571.521545,572.972961,562.562561,568.118103,568.118103,4168000
2014-04-03,573.390015,588.299988,566.010010,571.500000,571.500000,4018300
2014-04-04,578.549988,579.719971,544.489990,545.250000,545.250000,5363700
2014-04-07,544.789978,549.849976,530.530029,540.630005,540.630005,3961600
2014-04-08,545.049988,559.880005,544.700012,557.510010,557.510010,3482500
2014-04-09,565.840027,567.799988,555.380005,567.039978,567.039978,3031600
2014-04-10,568.000000,568.210022,545.500000,546.690002,546.690002,3294500
2014-04-11,537.940002,547.590027,533.400024,537.760010,537.760010,3174700
2014-04-14,543.659973,553.020020,540.520020,545.200012,545.200012,2541200
2014-04-15,551.000000,552.890015,530.640015,548.700012,548.700012,3997800
2014-04-16,557.700012,564.000000,553.099976,563.900024,563.900024,4582200
2014-04-17,556.320007,557.000000,539.400024,543.340027,543.340027,5614700
2014-04-21,544.000000,544.000000,534.000000,539.369995,539.369995,2425100
2014-04-22,536.000000,548.000000,536.000000,545.500000,545.500000,2331100
2014-04-23,543.669983,544.799988,528.130005,537.510010,537.510010,1955700
2014-04-24,541.690002,542.500000,531.000000,534.440002,534.440002,2067400
2014-04-25,532.260010,533.859985,522.500000,523.099976,523.099976,2370000
2014-04-28,525.799988,525.900024,511.000000,522.979980,522.979980,3752800
