Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,3.850000,3.980000,3.840000,3.950000,3.950000,20548400
2014-01-03,3.980000,4.000000,3.880000,4.000000,4.000000,22887200
2014-01-06,4.010000,4.180000,3.990000,4.130000,4.130000,42398300
2014-01-07,4.190000,4.250000,4.110000,4.180000,4.180000,42932100
2014-01-08,4.230000,4.260000,4.140000,4.180000,4.180000,30678700
2014-01-09,4.200000,4.230000,4.050000,4.090000,4.090000,30667600
2014-01-10,4.090000,4.200000,4.070000,4.170000,4.170000,20840800
2014-01-13,4.190000,4.200000,4.090000,4.130000,4.130000,22856100
2014-01-14,4.140000,4.300000,4.130000,4.300000,4.300000,42434800
2014-01-15,4.340000,4.600000,4.320000,4.470000,4.470000,66613100
2014-01-16,4.500000,4.510000,4.320000,4.380000,4.380000,46975600
2014-01-17,4.150000,4.350000,4.110000,4.180000,4.180000,45842700
2014-01-21,4.310000,4.340000,4.130000,4.170000,4.170000,58702900
2014-01-22,3.790000,3.820000,3.660000,3.670000,3.670000,86329500
2014-01-23,3.670000,3.680000,3.580000,3.620000,3.620000,29844700
2014-01-24,3.600000,3.610000,3.410000,3.470000,3.470000,48095800
2014-01-27,3.480000,3.490000,3.350000,3.410000,3.410000,31332300
2014-01-28,3.430000,3.570000,3.410000,3.540000,3.540000,27962600
2014-01-29,3.520000,3.560000,3.450000,3.480000,3.480000,21765000
2014-01-30,3.510000,3.520000,3.450000,3.480000,3.480000,17111700
2014-01-31,3.450000,3.470000,3.430000,3.430000,3.430000,13602100
2014-02-03,3.430000,3.440000,3.330000,3.330000,3.330000,22280200
2014-02-04,3.350000,3.430000,3.300000,3.370000,3.370000,22681000
2014-02-05,3.360000,3.370000,3.290000,3.310000,3.310000,14858900
2014-02-06,3.320000,3.460000,3.320000,3.410000,3.410000,16072900
2014-02-07,3.460000,3.500000,3.420000,3.470000,3.470000,23119700
2014-02-10,3.500000,3.640000,3.450000,3.630000,3.630000,21241100
2014-02-11,3.660000,3.750000,3.650000,3.700000,3.700000,34198100
2014-02-12,3.710000,3.730000,3.630000,3.690000,3.690000,18321300
2014-02-13,3.640000,3.710000,3.640000,3.700000,3.700000,13368600
2014-02-14,3.700000,3.720000,3.640000,3.690000,3.690000,12387900
2014-02-18,3.690000,3.720000,3.650000,3.700000,3.700000,11956700
2014-02-19,3.700000,3.740000,3.680000,3.720000,3.720000,14175500
2014-02-20,3.720000,3.750000,3.660000,3.690000,3.690000,13276100
2014-02-21,3.710000,3.750000,3.660000,3.690000,3.690000,13606800
