Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,74.489998,77.360001,74.389999,77.260002,74.158081,3290800
2019-01-03,76.599998,77.480003,75.980003,76.160004,73.102242,3599200
2019-01-04,77.680000,79.610001,77.660004,79.540001,76.346558,2851300
2019-01-07,79.190002,80.500000,78.650002,79.980003,76.768875,2665400
2019-01-08,80.669998,81.160004,78.900002,80.019997,76.807259,3117700
2019-01-09,80.699997,80.930000,79.790001,80.570000,77.335197,1903900
2019-01-10,80.000000,80.379997,79.570000,79.949997,76.740074,3485200
2019-01-11,79.370003,81.029999,79.040001,80.940002,77.690338,1832300
2019-01-14,80.209999,81.650002,79.919998,81.400002,78.131851,2452900
2019-01-15,81.000000,81.629997,80.519997,81.519997,78.247040,2829300
2019-01-16,82.400002,84.309998,82.160004,83.620003,80.262741,3767800
2019-01-17,83.199997,84.059998,82.230003,83.650002,80.291542,2312200
2019-01-18,83.889999,85.250000,82.940002,84.970001,81.558533,2671600
2019-01-22,84.000000,84.160004,82.800003,83.400002,80.051575,4800800
2019-01-23,79.769997,80.580002,77.709999,78.199997,75.060341,8586700
2019-01-24,78.199997,80.839996,78.199997,80.180000,76.960838,5529200
2019-01-25,80.980003,81.300003,79.540001,79.620003,76.423347,3486900
2019-01-28,78.739998,79.550003,78.440002,79.480003,76.288948,3848600
2019-01-29,79.599998,80.000000,78.879997,79.559998,76.365738,2454200
2019-01-30,79.900002,81.250000,79.190002,80.879997,77.632751,2720900
2019-01-31,80.279999,80.809998,79.900002,80.589996,77.354370,3220200
2019-02-01,80.940002,81.339996,80.430000,80.879997,77.632751,2438600
2019-02-04,80.849998,81.620003,80.300003,81.389999,78.122269,3282300
2019-02-05,81.559998,81.599998,80.500000,80.860001,77.613541,2305700
2019-02-06,80.680000,81.199997,79.589996,80.139999,76.922455,3552900
2019-02-07,79.910004,80.029999,78.360001,79.029999,75.857033,3395600
2019-02-08,77.910004,78.589996,76.820000,77.830002,75.085236,3187500
2019-02-11,78.080002,78.400002,77.750000,78.040001,75.287834,2649200
2019-02-12,78.820000,80.320000,78.760002,79.790001,76.976112,2113800
2019-02-13,80.080002,80.639999,79.750000,79.989998,77.169060,1809800
2019-02-14,79.449997,80.470001,78.519997,79.610001,76.802467,2087800
2019-02-15,80.269997,81.709999,80.059998,81.570000,78.693344,2704700
2019-02-19,81.550003,82.580002,81.139999,82.199997,79.301117,2952500
2019-02-20,82.410004,82.820000,81.820000,82.720001,79.802788,2167500
2019-02-21,82.980003,82.980003,81.620003,82.070000,79.175705,1736900
2019-02-22,82.070000,82.440002,81.019997,81.199997,78.336395,2096600
2019-02-25,81.989998,82.629997,81.389999,81.419998,78.548630,2514300
2019-02-26,81.160004,81.669998,80.250000,80.900002,78.046959,2682600
2019-02-27,80.709999,82.330002,80.500000,82.260002,79.359009,2676400
2019-02-28,82.430000,83.870003,81.910004,83.580002,80.632454,4649900
2019-03-01,84.000000,85.480003,83.809998,84.260002,81.288483,3081600
2019-03-04,84.290001,84.919998,82.510002,83.309998,80.371971,2918400
2019-03-05,83.300003,83.570000,81.660004,82.970001,80.043976,1963800
2019-03-06,82.760002,83.459999,82.489998,82.510002,79.600197,1713300
2019-03-07,82.220001,82.290001,80.809998,81.279999,78.413567,3035600
2019-03-08,80.440002,81.430000,80.080002,81.370003,78.500397,2111600
2019-03-11,81.959999,83.260002,81.860001,82.849998,79.928192,2926600
2019-03-12,82.989998,84.029999,82.739998,82.949997,80.024673,2153200
2019-03-13,83.360001,84.330002,83.199997,83.739998,80.786812,1779500
2019-03-14,83.620003,83.949997,83.190002,83.209999,80.275505,1794900
2019-03-15,83.110001,84.519997,82.930000,84.330002,81.356003,2993500
2019-03-18,84.540001,85.620003,84.370003,84.900002,81.905907,2529600
2019-03-19,85.379997,85.870003,84.160004,84.410004,81.433189,2342100
2019-03-20,84.129997,84.230003,82.790001,82.949997,80.024673,2462100
2019-03-21,82.199997,83.510002,81.480003,82.889999,79.966789,2569500
2019-03-22,82.139999,82.269997,79.680000,80.000000,77.178703,3119800
2019-03-25,79.860001,80.489998,78.449997,79.360001,76.561272,2327500
2019-03-26,80.000000,80.680000,79.419998,80.660004,77.815422,1668600
2019-03-27,80.379997,80.970001,79.820000,80.070000,77.246239,1902000
2019-03-28,80.330002,81.059998,80.050003,80.959999,78.104851,1268600
2019-03-29,81.739998,82.330002,81.419998,81.690002,78.809113,2945600
2019-04-01,82.349998,84.879997,82.269997,84.480003,81.500710,3036500
2019-04-02,84.500000,85.570000,84.010002,84.680000,81.693657,2342100
2019-04-03,85.110001,86.199997,84.930000,85.309998,82.301437,2852600
2019-04-04,85.519997,86.739998,85.120003,86.699997,83.642418,2137200
2019-04-05,87.000000,87.250000,85.900002,86.540001,83.488075,1554000
2019-04-08,85.800003,86.139999,85.290001,86.040001,83.005707,2023200
2019-04-09,85.500000,85.709999,84.589996,85.099998,82.098839,1212100
2019-04-10,85.269997,85.779999,84.529999,85.629997,82.610161,1413200
2019-04-11,86.120003,86.690002,85.620003,86.250000,83.208298,1390900
2019-04-12,87.349998,88.690002,86.940002,87.830002,84.732574,1637100
2019-04-15,87.809998,87.949997,86.550003,86.879997,83.816071,1215400
2019-04-16,87.449997,88.349998,87.029999,87.910004,84.809753,1888400
2019-04-17,88.099998,88.250000,87.300003,87.919998,84.819397,2337000
2019-04-18,87.709999,88.290001,87.500000,88.110001,85.002693,1413900
2019-04-22,87.870003,88.230003,87.309998,87.610001,84.520332,1060800
2019-04-23,87.809998,88.639999,87.400002,88.190002,85.079880,1789000
2019-04-24,88.000000,88.610001,87.529999,87.790001,84.693977,1759900
2019-04-25,87.709999,88.760002,87.370003,88.050003,84.944817,2135600
2019-04-26,90.699997,94.139999,90.699997,93.730003,90.424500,4310300
2019-04-29,93.849998,94.379997,92.279999,92.379997,89.122108,2466400
2019-04-30,93.019997,93.260002,91.580002,92.830002,89.556252,2211300
2019-05-01,92.559998,93.489998,92.239998,92.580002,89.315063,2210800
2019-05-02,92.660004,93.260002,92.150002,92.919998,89.643059,2062700
2019-05-03,93.220001,94.300003,93.120003,94.260002,90.935814,1694500
2019-05-06,92.050003,94.080002,91.879997,93.610001,90.308739,2208400
2019-05-07,92.410004,92.610001,90.900002,91.599998,88.369629,1901500
2019-05-08,91.180000,91.650002,90.169998,90.220001,87.038284,2183300
2019-05-09,89.120003,90.349998,88.370003,90.199997,87.018990,2240800
2019-05-10,89.650002,90.769997,88.320000,90.389999,87.590714,1348800
2019-05-13,88.489998,88.879997,87.320000,87.540001,84.828979,1819400
2019-05-14,88.239998,90.050003,88.099998,89.260002,86.495712,1640700
2019-05-15,88.300003,90.059998,87.239998,89.379997,86.611992,1900000
2019-05-16,89.870003,91.559998,89.870003,90.980003,88.162453,1631000
2019-05-17,90.029999,91.379997,89.930000,90.540001,87.736069,1518100
2019-05-20,90.410004,91.879997,90.000000,91.379997,88.550056,1460100
2019-05-21,91.970001,92.269997,91.599998,92.199997,89.344658,1859200
2019-05-22,91.660004,92.160004,91.250000,91.260002,88.433769,1117200
