Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,32.660000,34.619999,32.512501,34.055000,33.847198,50875200
2019-01-03,33.447498,33.790001,31.922501,31.997499,31.802248,70555200
2019-01-04,32.735001,34.432499,32.424999,34.047501,33.839737,58562000
2019-01-07,34.625000,36.222500,34.107498,35.849998,35.631237,70916000
2019-01-08,36.672501,36.695000,34.224998,34.957500,34.744186,78601600
2019-01-09,35.474998,36.122501,34.965000,35.645000,35.427483,61726000
2019-01-10,35.450001,36.395000,34.840000,36.307499,36.085945,52315600
2019-01-11,36.082500,37.437500,35.802502,37.207500,36.980453,87476400
2019-01-14,36.680000,37.865002,36.442501,37.610001,37.380501,73016800
2019-01-15,37.939999,38.337502,37.282501,37.467499,37.238873,61701200
2019-01-16,37.742500,38.075001,37.154999,37.209999,36.982941,47010400
2019-01-17,36.877499,38.332500,36.602501,37.930000,37.698547,49343600
2019-01-18,38.432499,39.494999,37.912498,39.232498,38.993095,65133600
2019-01-22,38.927502,39.044998,36.887501,37.192501,36.965549,66155200
2019-01-23,37.750000,38.645000,37.007500,37.322498,37.094753,59102000
2019-01-24,38.174999,39.637501,38.127499,39.459999,39.219212,70897200
2019-01-25,38.860001,40.220001,37.825001,40.037498,39.793182,115457200
2019-01-28,34.137501,35.410000,32.750000,34.502499,34.291962,251152800
2019-01-29,34.037498,34.525002,32.752499,32.900002,32.699238,115393200
2019-01-30,33.667500,34.492500,32.865002,34.347500,34.137905,97422800
2019-01-31,34.314999,36.297501,34.095001,35.937500,35.718204,84285200
2019-02-01,36.125000,36.697498,35.645000,36.182499,35.961708,62504800
2019-02-04,36.342499,37.669998,36.119999,37.294998,37.067417,52859200
2019-02-05,37.415001,37.857498,37.075001,37.487499,37.258743,54242400
2019-02-06,37.822498,38.900002,37.767502,38.250000,38.016594,70246400
2019-02-07,37.782501,37.805000,36.422501,36.855000,36.630108,63712000
2019-02-08,36.177502,37.150002,36.032501,37.042500,36.816460,46160400
2019-02-11,36.597500,37.145000,36.125000,36.612499,36.389076,49518000
2019-02-12,37.000000,37.950001,36.855000,37.792500,37.561886,59106000
2019-02-13,38.090000,38.957500,37.952499,38.220001,37.986774,60537200
2019-02-14,38.209999,38.917500,37.775002,38.632500,38.396763,82726400
2019-02-15,40.737499,40.967499,39.105000,39.334999,39.094975,151674800
2019-02-19,39.227501,39.972500,39.035000,39.160000,38.921043,55189200
2019-02-20,39.455002,40.314999,39.342499,39.637501,39.395630,54098800
2019-02-21,39.764999,40.012501,38.794998,38.942501,38.704872,44854800
2019-02-22,39.465000,39.987499,39.327499,39.797501,39.554653,40174000
2019-02-25,40.639999,41.320000,39.584999,39.672501,39.430408,65602000
2019-02-26,39.625000,40.189999,38.937500,39.275002,39.035343,48846400
2019-02-27,39.130001,39.397499,38.277500,38.852501,38.615417,50025600
2019-02-28,38.750000,38.974998,38.340000,38.564999,38.369175,32494400
2019-03-01,39.067501,39.537498,38.480000,39.112499,38.913891,35718800
2019-03-04,39.500000,39.730000,38.625000,39.195000,38.995972,40999200
2019-03-05,39.037498,39.514999,38.490002,39.130001,38.931305,36292400
2019-03-06,39.040001,39.125000,37.985001,38.012501,37.819481,40352400
2019-03-07,37.775002,37.872501,36.849998,37.314999,37.125519,45010400
2019-03-08,36.415001,37.767502,36.200001,37.660000,37.468769,42241600
2019-03-11,37.897499,40.514999,37.422501,40.285000,40.080444,85972800
2019-03-12,40.564999,41.097500,39.797501,40.630001,40.423691,57957600
2019-03-13,41.007500,42.450001,40.932499,42.154999,41.940945,76890000
2019-03-14,42.247501,42.367500,41.312500,41.389999,41.179832,51938400
2019-03-15,41.825001,42.882500,41.790001,42.452499,42.236938,66148400
2019-03-18,42.770000,43.312500,41.965000,42.237499,42.023022,48699200
2019-03-19,43.189999,44.375000,43.020000,43.927502,43.704449,85497200
2019-03-20,44.220001,44.757500,43.250000,43.599998,43.378609,71914800
2019-03-21,43.832500,46.250000,43.782501,45.985001,45.751499,82431200
2019-03-22,45.709999,46.200001,44.235001,44.375000,44.149673,74764400
2019-03-25,43.965000,44.612499,42.777500,43.445000,43.224388,52521200
2019-03-26,44.872501,45.437500,43.650002,44.217499,43.992970,70350800
2019-03-27,44.474998,44.942501,43.424999,44.125000,43.900944,47437200
2019-03-28,44.387501,44.974998,43.777500,44.312500,44.087490,48026400
2019-03-29,44.985001,45.134998,44.477501,44.889999,44.662056,45689600
2019-04-01,45.814999,45.875000,45.092499,45.570000,45.338604,48382400
2019-04-02,45.812500,46.197498,45.380001,45.750000,45.517696,44092000
2019-04-03,46.250000,47.750000,46.200001,47.154999,46.915558,78878000
2019-04-04,47.000000,47.492500,46.432499,47.064999,46.826012,45737600
2019-04-05,47.500000,47.912498,47.132500,47.737499,47.495094,48174400
2019-04-08,47.430000,48.200001,47.187500,47.947498,47.704033,42419200
2019-04-09,47.610001,47.722500,46.889999,47.314999,47.074741,43997200
2019-04-10,47.307499,48.285000,47.262501,48.025002,47.781143,44477200
