Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,34.150002,35.560001,34.080002,35.270000,34.151569,4761800
2019-01-03,35.139999,35.820000,34.610001,35.130001,34.016014,5165400
2019-01-04,35.560001,36.869999,35.400002,36.750000,35.584652,5266200
2019-01-07,36.790001,38.119999,36.650002,37.400002,36.214027,7494600
2019-01-08,37.959999,38.009998,36.880001,37.250000,36.068779,4636700
2019-01-09,38.110001,39.970001,37.290001,39.580002,38.324898,11907800
2019-01-10,39.369999,39.630001,38.660000,39.110001,37.869808,7247400
2019-01-11,39.110001,40.130001,38.840000,39.599998,38.344261,5860600
2019-01-14,39.299999,39.419998,38.369999,38.419998,37.201683,8318100
2019-01-15,38.509998,39.009998,38.009998,38.480000,37.259785,4851900
2019-01-16,38.430000,38.529999,37.669998,37.849998,36.649757,4578400
2019-01-17,37.480000,37.959999,37.310001,37.610001,36.417377,4774000
2019-01-18,37.709999,37.810001,37.029999,37.180000,36.001003,5066900
2019-01-22,37.000000,37.119999,36.209999,36.419998,35.265106,4879900
2019-01-23,37.139999,37.660000,36.709999,37.299999,36.117199,6363000
2019-01-24,37.310001,38.470001,37.259998,38.299999,37.085484,9170400
2019-01-25,38.570000,39.209999,36.410000,37.299999,36.117199,15999000
2019-01-28,36.529999,37.459999,36.169998,36.389999,35.236053,10157000
2019-01-29,35.869999,36.740002,34.959999,36.680000,35.516857,12026700
2019-01-30,36.700001,37.639999,36.049999,37.590000,36.398010,8642200
2019-01-31,37.650002,38.990002,37.000000,38.450001,37.230736,11125200
2019-02-01,38.549999,39.200001,37.950001,37.990002,36.785328,8083000
2019-02-04,37.900002,38.209999,37.480000,37.730000,36.533558,4819900
2019-02-05,37.700001,38.430000,37.610001,38.349998,37.133911,4130200
2019-02-06,38.209999,38.330002,37.310001,37.529999,36.339905,6524300
2019-02-07,37.299999,38.470001,37.299999,38.450001,37.230736,7052300
2019-02-08,37.970001,38.250000,37.160000,37.720001,36.666927,4938500
2019-02-11,37.650002,37.840000,37.230000,37.759998,36.705811,3668300
2019-02-12,38.250000,40.669998,38.080002,40.610001,39.476242,10439700
2019-02-13,40.720001,41.139999,39.400002,40.169998,39.048519,8436200
