Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,9.182500,9.235000,9.087500,9.102500,9.102500,1172000
2010-01-05,9.102500,9.135000,9.055000,9.100000,9.100000,658000
2010-01-06,9.075000,9.115000,9.045000,9.062500,9.062500,617600
2010-01-07,9.025000,9.060000,8.942500,9.010000,9.010000,913600
2010-01-08,8.975000,9.037500,8.925000,9.037500,9.037500,1271200
2010-01-11,9.035000,9.095000,8.940000,9.002500,9.002500,607200
2010-01-12,8.940000,8.962500,8.902500,8.937500,8.937500,738400
2010-01-13,8.932500,8.942500,8.837500,8.867500,8.867500,1682800
2010-01-14,8.825000,8.940000,8.762500,8.935000,8.935000,1241200
2010-01-15,8.952500,8.952500,8.740000,8.792500,8.792500,524800
2010-01-19,8.775000,8.885000,8.725000,8.885000,8.885000,772000
2010-01-20,8.812500,8.850000,8.695000,8.822500,8.822500,728000
2010-01-21,8.802500,8.995000,8.695000,8.702500,8.702500,902800
2010-01-22,8.722500,8.745000,8.555000,8.572500,8.572500,698000
2010-01-25,8.645000,8.705000,8.625000,8.675000,8.675000,906000
2010-01-26,8.652500,8.690000,8.595000,8.657500,8.657500,804400
2010-01-27,8.617500,8.705000,8.592500,8.665000,8.665000,817200
2010-01-28,8.655000,8.655000,8.500000,8.537500,8.537500,866800
2010-01-29,8.557500,8.580000,8.432500,8.440000,8.440000,1114000
2010-02-01,8.455000,8.505000,8.332500,8.505000,8.505000,1674400
2010-02-02,8.492500,8.632500,8.462500,8.600000,8.600000,1186800
2010-02-03,8.560000,8.665000,8.495000,8.545000,8.545000,910400
2010-02-04,8.510000,8.515000,8.262500,8.292500,8.292500,1630400
2010-02-05,8.262500,8.307500,8.192500,8.302500,8.302500,1667200
2010-02-08,8.330000,8.360000,8.257500,8.275000,8.275000,514000
2010-02-09,8.360000,8.475000,8.267500,8.302500,8.302500,662800
2010-02-10,8.265000,8.322500,8.220000,8.265000,8.265000,818000
2010-02-11,8.250000,8.352500,8.227500,8.347500,8.347500,1136400
2010-02-12,8.312500,8.460000,8.272500,8.425000,8.425000,1282800
2010-02-16,8.707500,8.895000,8.672500,8.815000,8.815000,3252800
2010-02-17,8.855000,8.997500,8.787500,8.860000,8.860000,1759200
2010-02-18,8.890000,9.000000,8.850000,8.982500,8.982500,1108400
2010-02-19,8.952500,9.057500,8.952500,9.025000,9.025000,829200
2010-02-22,9.065000,9.162500,9.035000,9.050000,9.050000,608000
2010-02-23,9.012500,9.077500,8.862500,8.877500,8.877500,874000
2010-02-24,8.880000,8.990000,8.880000,8.942500,8.942500,483200
2010-02-25,8.845000,8.962500,8.830000,8.950000,8.950000,920400
2010-02-26,8.977500,8.977500,8.850000,8.920000,8.920000,1178000
2010-03-01,8.915000,9.100000,8.907500,9.067500,9.067500,2194400
2010-03-02,9.060000,9.252500,9.010000,9.252500,9.252500,3417600
2010-03-03,8.985000,9.172500,8.732500,8.757500,8.757500,4786800
2010-03-04,8.750000,8.827500,8.612500,8.660000,8.660000,1305600
2010-03-05,8.682500,8.857500,8.625000,8.847500,8.847500,1316400
2010-03-08,8.815000,8.925000,8.810000,8.877500,8.877500,1124400
2010-03-09,8.880000,8.932500,8.730000,8.737500,8.737500,1420800
2010-03-10,8.730000,8.795000,8.710000,8.785000,8.785000,1342800
2010-03-11,8.732500,8.812500,8.732500,8.810000,8.810000,580000
2010-03-12,8.805000,8.845000,8.757500,8.845000,8.845000,1006800
2010-03-15,8.852500,8.917500,8.792500,8.880000,8.880000,769600
2010-03-16,8.880000,8.915000,8.827500,8.872500,8.872500,1662000
2010-03-17,8.912500,8.947500,8.865000,8.865000,8.865000,850000
2010-03-18,8.835000,8.895000,8.802500,8.860000,8.860000,653200
2010-03-19,8.900000,8.900000,8.755000,8.817500,8.817500,2139600
2010-03-22,8.750000,9.007500,8.750000,9.007500,9.007500,1273200
2010-03-23,9.000000,9.087500,8.967500,9.075000,9.075000,860400
2010-03-24,9.027500,9.050000,8.917500,8.917500,8.917500,567200
2010-03-25,8.985000,8.985000,8.830000,8.840000,8.840000,451600
2010-03-26,8.875000,8.875000,8.742500,8.812500,8.812500,693200
2010-03-29,8.810000,8.977500,8.795000,8.972500,8.972500,768400
2010-03-30,9.000000,9.000000,8.887500,8.905000,8.905000,657600
2010-03-31,8.917500,8.980000,8.885000,8.900000,8.900000,1312000
2010-04-01,8.927500,8.927500,8.805000,8.900000,8.900000,1021600
2010-04-05,8.932500,8.980000,8.895000,8.980000,8.980000,1018000
2010-04-06,8.922500,9.045000,8.922500,9.002500,9.002500,662800
2010-04-07,8.972500,9.022500,8.922500,8.985000,8.985000,754400
2010-04-08,8.960000,8.960000,8.812500,8.897500,8.897500,798400
2010-04-09,8.882500,8.882500,8.732500,8.790000,8.790000,1684800
2010-04-12,8.770000,8.845000,8.740000,8.845000,8.845000,1863600
2010-04-13,8.822500,8.870000,8.775000,8.820000,8.820000,1087200
2010-04-14,8.872500,8.875000,8.772500,8.875000,8.875000,1103600
2010-04-15,8.842500,8.905000,8.842500,8.887500,8.887500,652800
2010-04-16,8.842500,8.890000,8.652500,8.730000,8.730000,2777600
2010-04-19,8.705000,8.705000,8.535000,8.600000,8.600000,2254800
2010-04-20,8.647500,8.757500,8.605000,8.750000,8.750000,1274000
2010-04-21,8.810000,8.810000,8.702500,8.760000,8.760000,1216000
2010-04-22,8.687500,8.812500,8.667500,8.770000,8.770000,2439200
2010-04-23,8.735000,8.822500,8.692500,8.822500,8.822500,873200
2010-04-26,8.825000,8.870000,8.770000,8.830000,8.830000,888000
2010-04-27,8.777500,8.892500,8.752500,8.770000,8.770000,1015200
2010-04-28,8.820000,8.825000,8.725000,8.777500,8.777500,610800
