Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,56.630001,57.869999,56.560001,57.720001,45.008530,5277400
2010-01-05,57.330002,57.689999,56.270000,57.220001,44.618645,7882800
2010-01-06,56.939999,57.389999,56.500000,56.790001,44.283340,6015100
2010-01-07,56.410000,56.529999,54.650002,56.270000,43.877869,10371600
2010-01-08,56.070000,56.830002,55.639999,56.770000,44.267757,6576000
2010-01-11,56.930000,57.360001,56.619999,57.020000,44.462700,4062700
2010-01-12,57.139999,57.419998,54.820000,56.029999,43.690704,11268300
2010-01-13,56.349998,56.750000,55.959999,56.529999,44.080608,5056200
2010-01-14,56.349998,56.529999,55.910000,56.160000,43.792084,4668900
2010-01-15,56.029999,56.509998,55.650002,56.250000,43.862267,7240000
2010-01-19,56.410000,57.750000,56.240002,57.549999,44.875973,8570100
2010-01-20,57.619999,57.619999,56.410000,57.200001,44.603058,6625700
2010-01-21,57.430000,57.560001,56.310001,56.630001,44.158577,5833700
2010-01-22,56.669998,57.299999,56.529999,56.599998,44.135189,5967600
2010-01-25,56.720001,56.790001,55.549999,55.709999,43.441189,6719400
2010-01-26,56.200001,56.869999,55.700001,56.580002,44.119595,14880300
2010-01-27,56.349998,57.880001,56.349998,57.740002,45.024120,9695000
2010-01-28,57.869999,58.779999,57.560001,58.080002,45.289257,11638200
2010-01-29,58.349998,58.930000,58.160000,58.480000,45.601158,9465700
2010-02-01,58.520000,58.840000,58.369999,58.720001,45.788303,7079100
2010-02-02,58.599998,59.299999,58.410000,59.230000,46.185989,7660900
2010-02-03,58.900002,59.419998,58.860001,59.070000,46.061226,7082600
2010-02-04,58.900002,59.060001,57.330002,57.529999,44.860374,9534500
2010-02-05,57.540001,58.029999,56.639999,57.680000,44.977333,8409900
2010-02-08,57.540001,57.919998,56.700001,57.459999,44.805782,5947800
2010-02-09,58.240002,58.400002,56.700001,57.209999,44.610863,18732200
2010-02-10,57.090000,57.290001,56.369999,56.840000,44.322334,6019100
2010-02-11,56.560001,57.000000,56.230000,56.500000,44.057220,8491100
2010-02-12,56.220001,56.720001,56.020000,56.480000,44.041607,8008700
2010-02-16,56.619999,57.000000,56.200001,56.990002,44.439304,5245900
2010-02-17,56.930000,57.570000,56.750000,57.200001,44.603058,6831900
2010-02-18,57.299999,57.439999,57.099998,57.270000,44.657635,8120500
2010-02-19,57.049999,57.709999,56.950001,57.380001,44.743416,7131600
2010-02-22,57.360001,57.439999,56.799999,57.099998,44.525085,7176800
