Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,211.979996,214.059998,211.666672,213.929993,213.929993,792900
2017-01-04,212.666672,212.666672,208.240005,209.830002,209.830002,1361700
2017-01-05,210.063339,212.570007,209.149994,210.970001,210.970001,1110600
2017-01-06,211.333328,213.619995,211.333328,212.036667,212.036667,883500
2017-01-09,211.729996,214.419998,211.729996,213.766663,213.766663,1159200
2017-01-10,214.176666,221.333328,213.913330,220.733337,220.733337,1189800
2017-01-11,225.300003,229.546661,223.363327,226.053329,226.053329,1895700
2017-01-12,225.856674,225.856674,220.350006,221.626663,221.626663,1247100
2017-01-13,222.666672,224.993332,220.863327,221.570007,221.570007,873900
2017-01-17,221.503326,222.446671,218.333328,221.246674,221.246674,786900
2017-01-18,221.263336,222.666672,220.050003,221.023331,221.023331,589500
2017-01-19,220.806671,221.380005,218.033340,219.353333,219.353333,750900
2017-01-20,220.406662,220.406662,218.080002,218.916672,218.916672,774300
2017-01-23,219.179993,220.660004,217.190002,218.343338,218.343338,816900
2017-01-24,219.220001,223.259995,217.893326,222.016663,222.016663,1409100
2017-01-25,225.000000,233.473328,224.006668,233.333328,233.333328,3402600
2017-01-26,232.103333,233.000000,228.143326,229.186661,229.186661,1661700
2017-01-27,228.126663,231.753326,227.380005,230.429993,230.429993,1264200
2017-01-30,229.133331,230.149994,227.886673,230.043335,230.043335,939000
2017-01-31,229.410004,232.513336,228.186661,230.896667,230.896667,1155300
2017-02-01,230.016663,232.666672,229.326660,232.339996,232.339996,1075200
2017-02-02,231.046661,233.663330,230.346664,233.386673,233.386673,1047600
2017-02-03,233.333328,234.316666,232.589996,234.043335,234.043335,972600
2017-02-06,233.350006,235.350006,232.236664,234.986664,234.986664,972300
2017-02-07,234.693329,235.440002,233.833328,234.746674,234.746674,1138500
2017-02-08,233.836670,234.880005,233.106674,234.223328,234.223328,1033500
2017-02-09,233.986664,236.513336,233.416672,235.126663,235.126663,809100
2017-02-10,235.306671,236.223328,234.483337,235.173340,235.173340,806400
2017-02-13,235.000000,237.096664,233.660004,236.899994,236.899994,775500
2017-02-14,237.473328,239.333328,236.750000,238.306671,238.306671,924900
2017-02-15,237.210007,239.766663,236.836670,238.913330,238.913330,908400
2017-02-16,238.143326,240.580002,237.533340,240.490005,240.490005,868500
2017-02-17,239.476669,242.453339,239.213333,241.553329,241.553329,1162800
2017-02-21,241.666672,244.389999,241.190002,244.056671,244.056671,1445100
2017-02-22,243.266663,244.706665,242.863327,244.026672,244.026672,835500
2017-02-23,243.766663,245.543335,243.523331,245.116669,245.116669,805500
2017-02-24,244.466660,246.266663,243.776672,245.619995,245.619995,843900
2017-02-27,245.789993,246.333328,244.203339,244.676666,244.676666,890400
2017-02-28,244.000000,246.343338,243.203339,245.666672,245.666672,1185600
2017-03-01,245.600006,248.196671,244.360001,247.029999,247.029999,946500
2017-03-02,247.000000,248.600006,246.573334,247.523331,247.523331,804300
2017-03-03,246.813339,248.759995,246.306671,248.263336,248.263336,642600
2017-03-06,246.893326,247.653336,244.816666,245.233337,245.233337,1199700
2017-03-07,244.226669,245.446671,243.046661,243.383331,243.383331,1154700
2017-03-08,243.666672,244.836670,242.263336,242.703339,242.703339,962700
2017-03-09,242.376663,245.656662,242.376663,245.339996,245.339996,949200
2017-03-10,246.666672,246.666672,244.213333,244.720001,244.720001,734700
2017-03-13,244.376663,245.436661,242.460007,244.630005,244.630005,786300
2017-03-14,242.949997,246.766663,242.813339,246.693329,246.693329,1363500
2017-03-15,245.619995,250.476669,245.330002,248.889999,248.889999,1704900
2017-03-16,249.683334,250.169998,246.500000,247.843338,247.843338,813600
2017-03-17,249.383331,250.733337,248.559998,249.943329,249.943329,2004900
2017-03-20,249.190002,251.850006,249.006668,250.009995,250.009995,1124400
2017-03-21,251.166672,252.663330,248.466660,248.649994,248.649994,1187700
2017-03-22,249.210007,250.056671,247.503326,249.436661,249.436661,547200
2017-03-23,249.133331,250.490005,248.179993,248.726669,248.726669,567000
2017-03-24,249.923340,253.836670,249.223328,252.666672,252.666672,1336200
2017-03-27,251.809998,256.373322,251.066666,255.773331,255.773331,1176600
2017-03-28,255.773331,256.760010,254.759995,254.823334,254.823334,843000
2017-03-29,254.339996,255.843338,253.166672,255.226669,255.226669,738900
2017-03-30,255.300003,256.329987,254.143326,255.419998,255.419998,533100
2017-03-31,255.123337,256.660004,254.773331,255.490005,255.490005,920400
2017-04-03,255.213333,257.190002,253.483337,254.903336,254.903336,962100
2017-04-04,255.330002,255.753326,253.113327,254.113327,254.113327,598800
2017-04-05,253.626663,258.636658,253.153336,254.266663,254.266663,1098000
2017-04-06,254.046661,255.316666,253.443329,254.256668,254.256668,780900
2017-04-07,254.676666,256.113342,253.696671,255.706665,255.706665,750600
2017-04-10,255.003326,256.470001,255.000000,255.679993,255.679993,684000
2017-04-11,255.366669,256.516663,253.543335,254.943329,254.943329,824100
2017-04-12,253.956665,255.000000,253.623337,254.753326,254.753326,741000
2017-04-13,255.143326,256.216675,254.160004,254.929993,254.929993,756600
2017-04-17,256.306671,257.753326,255.110001,256.093323,256.093323,1158600
2017-04-18,256.000000,256.000000,251.126663,253.113327,253.113327,1765800
2017-04-19,266.666656,272.399994,263.660004,269.233337,269.233337,3396000
2017-04-20,268.833344,271.803345,267.616669,271.483337,271.483337,1183200
2017-04-21,270.556671,271.516663,269.100006,271.143341,271.143341,1232400
2017-04-24,272.333344,274.676666,271.056671,274.059998,274.059998,1137000
2017-04-25,274.066681,277.683319,273.483337,275.746674,275.746674,1458000
2017-04-26,275.309998,278.656677,275.170013,278.006653,278.006653,932700
2017-04-27,278.209991,280.250000,278.006653,278.853333,278.853333,882300
2017-04-28,278.890015,281.486664,277.586670,278.623322,278.623322,1170900
2017-05-01,279.526672,280.663330,278.793335,279.856659,279.856659,735600
2017-05-02,279.070007,281.816681,279.070007,281.589996,281.589996,618600
2017-05-03,281.579987,282.583344,280.286652,281.776672,281.776672,543300
2017-05-04,282.103333,282.839996,281.593323,282.406677,282.406677,542100
