Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,56.650002,56.779999,56.009998,56.520000,53.644634,3149100
2017-01-04,56.480000,57.400002,56.200001,57.320000,54.403931,3572400
2017-01-05,57.349998,57.459999,56.980000,57.090000,54.185631,5166400
2017-01-06,57.139999,58.000000,56.380001,57.869999,54.925945,6091200
2017-01-09,57.599998,57.750000,56.450001,56.580002,53.701576,7006300
2017-01-10,56.430000,56.930000,55.939999,56.660000,53.777508,4710700
2017-01-11,56.459999,57.090000,56.270000,57.009998,54.109699,6377100
2017-01-12,57.169998,57.169998,56.160000,56.990002,54.090721,3599500
2017-01-13,56.840000,57.119999,56.270000,56.520000,53.644634,6223300
2017-01-17,56.500000,56.880001,56.320000,56.580002,53.701576,3470200
2017-01-18,56.630001,57.639999,56.599998,57.360001,54.441895,3970200
2017-01-19,57.250000,57.430000,56.490002,56.650002,53.768017,3147500
2017-01-20,56.869999,57.119999,56.459999,56.849998,53.957836,4485300
2017-01-23,56.880001,56.950001,55.669998,56.169998,53.312431,4444000
2017-01-24,56.250000,56.730000,55.750000,56.610001,53.730057,3613700
2017-01-25,56.820000,57.570000,56.580002,57.549999,54.622219,5238100
2017-01-26,57.470001,57.680000,56.259998,56.270000,53.407349,3406200
2017-01-27,56.299999,56.630001,56.049999,56.130001,53.274471,3010800
2017-01-30,55.230000,55.250000,53.529999,53.660000,50.930122,9261800
2017-01-31,52.029999,53.139999,51.520000,52.590000,49.914558,10176800
2017-02-01,52.680000,52.910000,51.950001,52.450001,49.781677,7478400
2017-02-02,52.700001,52.820000,51.580002,51.680000,49.050854,7972300
2017-02-03,52.070000,52.540001,51.660000,52.500000,49.829140,6176800
2017-02-06,53.480000,53.480000,52.439999,52.759998,50.075909,7776900
2017-02-07,52.709999,54.169998,52.639999,53.790001,51.053516,7606700
2017-02-08,57.000000,57.490002,54.759998,56.450001,53.578197,20858300
2017-02-09,57.000000,58.410000,56.290001,58.000000,55.049343,13235500
2017-02-10,58.000000,58.340000,57.369999,57.400002,54.479866,6935500
2017-02-13,57.750000,58.000000,57.529999,57.639999,54.707645,6744800
2017-02-14,57.290001,57.689999,57.180000,57.360001,54.441895,10115300
2017-02-15,57.070000,58.400002,57.070000,58.130001,55.172722,5636200
2017-02-16,58.250000,58.480000,57.750000,58.099998,55.144245,4158200
2017-02-17,58.009998,58.439999,57.619999,57.959999,55.011375,3777600
2017-02-21,57.919998,58.689999,57.660000,58.619999,55.637794,4275100
2017-02-22,58.230000,58.799999,57.919998,58.750000,55.761189,3238600
2017-02-23,58.799999,59.310001,58.619999,59.150002,56.140827,3677000
2017-02-24,58.959999,59.500000,58.750000,59.500000,56.473030,3169400
2017-02-27,59.490002,59.669998,59.110001,59.580002,56.548954,4908500
2017-02-28,59.299999,59.580002,59.119999,59.270000,56.254726,5466300
2017-03-01,59.709999,60.389999,59.490002,60.250000,57.184872,5163300
2017-03-02,59.959999,60.330002,59.669998,60.169998,57.108940,2850700
2017-03-03,59.950001,60.259998,59.689999,59.880001,56.833694,4789700
2017-03-06,59.450001,59.549999,58.490002,58.830002,55.837112,5801200
2017-03-07,58.820000,59.299999,57.770000,57.840000,54.897476,5336500
2017-03-08,57.770000,57.990002,57.150002,57.490002,54.565281,5617900
2017-03-09,57.599998,57.750000,57.000000,57.669998,54.736122,4193600
2017-03-10,58.250000,59.279999,58.110001,58.740002,55.751694,5171900
2017-03-13,58.590000,59.340000,58.490002,59.250000,56.235737,3775000
2017-03-14,59.770000,59.779999,58.919998,59.160000,56.150326,3696900
2017-03-15,59.189999,59.450001,58.759998,59.259998,56.245239,3216800
2017-03-16,59.750000,60.000000,59.259998,59.410000,56.387611,3560000
2017-03-17,59.840000,59.889999,58.189999,58.560001,55.580849,6738100
2017-03-20,58.560001,59.410000,58.439999,58.980000,55.979481,4487700
2017-03-21,59.110001,59.400002,58.400002,58.529999,55.552372,3243200
2017-03-22,58.540001,59.509998,58.520000,59.459999,56.435059,4385300
2017-03-23,59.250000,59.340000,58.369999,58.759998,55.770668,4737700
2017-03-24,59.009998,59.290001,58.540001,58.619999,55.637794,2988200
2017-03-27,58.130001,58.860001,58.060001,58.709999,55.723221,3187800
2017-03-28,58.490002,59.340000,58.310001,59.040001,56.036430,3814300
2017-03-29,58.889999,59.200001,58.419998,59.080002,56.074398,3267800
2017-03-30,59.200001,59.320000,58.910000,59.240002,56.226265,1770800
2017-03-31,59.090000,59.820000,59.020000,59.520000,56.492012,3463600
2017-04-03,59.549999,59.950001,58.169998,58.250000,55.286613,5459700
2017-04-04,57.990002,58.439999,57.610001,58.209999,55.248650,3772900
2017-04-05,58.220001,59.099998,57.930000,58.060001,55.106289,4115200
2017-04-06,58.060001,58.419998,57.720001,58.139999,55.182205,3085500
2017-04-07,58.410000,58.669998,58.029999,58.430000,55.457462,3234900
2017-04-10,58.290001,59.099998,58.200001,58.970001,55.969994,4501000
2017-04-11,58.730000,59.200001,58.410000,58.880001,55.884567,3612900
2017-04-12,58.939999,59.009998,58.480000,58.660000,55.675762,2590700
2017-04-13,58.770000,59.060001,58.290001,58.349998,55.381523,3872300
2017-04-17,58.630001,58.820000,58.509998,58.700001,55.713730,2931800
2017-04-18,58.349998,58.410000,57.650002,57.869999,54.925945,5333500
2017-04-19,57.970001,58.330002,57.860001,57.970001,55.020859,4071300
2017-04-20,58.009998,58.240002,57.500000,57.779999,54.840530,5152200
2017-04-21,57.980000,57.980000,57.639999,57.849998,54.906960,4882000
2017-04-24,58.639999,59.189999,58.450001,58.889999,55.894047,4201700
2017-04-25,58.930000,59.369999,58.759998,59.090000,56.083885,3112300
2017-04-26,59.049999,59.650002,58.970001,59.419998,56.397091,3920700
2017-04-27,59.450001,59.730000,59.310001,59.700001,56.662853,3230000
2017-04-28,59.740002,60.400002,59.439999,60.230000,57.165890,4694400
2017-05-01,60.400002,60.750000,60.160000,60.349998,57.279785,5007200
2017-05-02,60.330002,60.810001,60.200001,60.490002,57.412659,3963300
2017-05-03,60.720001,60.799999,60.209999,60.560001,57.479099,3562500
2017-05-04,60.759998,61.150002,60.560001,60.750000,57.659439,5479600
2017-05-05,61.689999,63.340000,61.500000,63.220001,60.003780,8224700
2017-05-08,63.189999,64.430000,63.000000,64.279999,61.009834,6848000
2017-05-09,63.509998,64.339996,63.389999,64.169998,60.905445,3534000
2017-05-10,63.990002,64.300003,63.660000,63.970001,60.715618,3430100
2017-05-11,63.599998,64.320000,63.599998,64.250000,60.981373,3053000
2017-05-12,64.320000,64.680000,64.040001,64.389999,61.114250,4268800
2017-05-15,64.400002,64.720001,64.129997,64.489998,61.209164,6625300
2017-05-16,64.639999,65.250000,64.260002,65.190002,61.873569,3239800
2017-05-17,64.739998,65.000000,64.290001,64.500000,61.218662,3892900
2017-05-18,64.160004,65.320000,63.959999,65.019997,61.856060,4029600
2017-05-19,65.110001,65.519997,64.900002,65.419998,62.236591,3559700
2017-05-22,65.400002,65.860001,65.169998,65.790001,62.588596,3313700
2017-05-23,66.000000,66.300003,65.660004,66.010002,62.797878,4913100
2017-05-24,66.169998,66.610001,65.849998,66.489998,63.254517,3092700
2017-05-25,66.669998,67.040001,66.540001,66.879997,63.625546,4639800
2017-05-26,67.129997,67.129997,66.699997,66.790001,63.539932,2559400
2017-05-30,66.690002,66.690002,66.290001,66.489998,63.254517,5077500
2017-05-31,66.639999,67.099998,66.430000,66.910004,63.654083,3847900
2017-06-01,66.910004,67.440002,66.660004,67.389999,64.110725,3770300
2017-06-02,67.500000,67.559998,66.660004,67.470001,64.186836,6531000
2017-06-05,67.489998,67.879997,67.309998,67.559998,64.272446,2297700
