Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,280.000000,281.070007,278.059998,280.820007,280.820007,967500
2017-01-04,280.820007,282.799988,279.299988,282.109985,282.109985,492600
2017-01-05,280.839996,283.119995,280.220001,282.809998,282.809998,644000
2017-01-06,282.809998,283.970001,281.339996,281.779999,281.779999,472600
2017-01-09,280.760010,281.980011,278.790009,279.399994,279.399994,524800
2017-01-10,279.670013,283.179993,278.839996,281.299988,281.299988,443700
2017-01-11,281.779999,283.820007,279.269989,281.329987,281.329987,476800
2017-01-12,280.119995,281.980011,279.209991,281.579987,281.579987,465000
2017-01-13,281.869995,282.829987,278.880005,279.149994,279.149994,468200
2017-01-17,278.500000,281.709991,276.269989,278.760010,278.760010,660000
2017-01-18,280.160004,281.160004,278.500000,280.809998,280.809998,574100
2017-01-19,280.040009,281.500000,274.799988,275.049988,275.049988,561400
2017-01-20,276.760010,277.410004,273.369995,274.010010,274.010010,980100
2017-01-23,269.500000,269.500000,263.130005,264.989990,264.989990,1418100
2017-01-24,265.559998,268.750000,265.230011,267.459991,267.459991,1017400
2017-01-25,268.329987,268.679993,265.720001,266.070007,266.070007,990300
2017-01-26,265.480011,267.420013,262.829987,263.000000,263.000000,971900
2017-01-27,263.570007,265.279999,261.660004,263.790009,263.790009,972700
2017-01-30,262.000000,263.980011,259.149994,261.890015,261.890015,1495400
2017-01-31,261.459991,263.350006,259.190002,262.269989,262.269989,914900
2017-02-01,262.190002,263.000000,254.210007,254.350006,254.350006,1648900
2017-02-02,254.190002,258.200012,253.539993,256.690002,256.690002,998400
2017-02-03,258.390015,261.839996,257.160004,259.839996,259.839996,970500
2017-02-06,259.049988,261.070007,257.799988,258.399994,258.399994,1182300
2017-02-07,259.359985,263.290009,259.089996,262.190002,262.190002,2041300
2017-02-08,263.200012,273.839996,259.940002,271.649994,271.649994,2786200
2017-02-09,275.260010,277.399994,271.119995,274.779999,274.779999,1783300
2017-02-10,273.750000,275.440002,269.579987,271.799988,271.799988,1267500
2017-02-13,272.459991,272.630005,268.190002,268.480011,268.480011,867100
2017-02-14,268.489990,270.260010,267.660004,269.519989,269.519989,917200
2017-02-15,268.720001,271.160004,268.720001,270.619995,270.619995,665000
2017-02-16,270.670013,270.980011,266.559998,266.850006,266.850006,756600
2017-02-17,266.850006,268.160004,264.470001,268.119995,268.119995,738600
2017-02-21,269.109985,272.640015,267.160004,268.700012,268.700012,1048200
2017-02-22,269.100006,269.369995,266.299988,268.089996,268.089996,776000
2017-02-23,269.179993,269.179993,265.309998,265.940002,265.940002,920800
2017-02-24,265.739990,269.279999,264.369995,268.730011,268.730011,719200
2017-02-27,267.630005,269.730011,264.559998,268.250000,268.250000,551000
2017-02-28,267.970001,271.929993,267.299988,271.709991,271.709991,1345200
2017-03-01,273.239990,274.399994,271.130005,271.519989,271.519989,1006100
2017-03-02,270.899994,272.269989,269.709991,271.980011,271.980011,799800
2017-03-03,272.049988,273.029999,268.390015,270.649994,270.649994,1141500
2017-03-06,270.260010,271.489990,268.450012,268.859985,268.859985,811900
2017-03-07,269.049988,270.170013,268.230011,269.820007,269.820007,821000
2017-03-08,269.420013,271.899994,267.040009,271.450012,271.450012,616900
2017-03-09,271.459991,271.859985,268.399994,269.140015,269.140015,753500
2017-03-10,270.579987,271.230011,268.470001,269.630005,269.630005,726500
2017-03-13,269.470001,275.070007,268.690002,274.429993,274.429993,1091400
2017-03-14,274.429993,276.750000,274.059998,275.390015,275.390015,924200
2017-03-15,275.760010,276.450012,268.829987,270.709991,270.709991,1498400
2017-03-16,271.000000,272.920013,270.350006,272.059998,272.059998,651000
2017-03-17,274.329987,274.920013,272.140015,274.200012,274.200012,1434300
2017-03-20,274.989990,275.940002,271.899994,273.079987,273.079987,642900
2017-03-21,273.709991,274.869995,270.089996,270.500000,270.500000,546300
2017-03-22,271.329987,272.799988,269.149994,271.399994,271.399994,711700
2017-03-23,271.299988,272.880005,269.619995,271.450012,271.450012,578200
2017-03-24,272.399994,273.029999,270.970001,271.760010,271.760010,415800
2017-03-27,270.799988,272.029999,268.570007,269.799988,269.799988,593500
2017-03-28,269.470001,270.619995,267.899994,269.709991,269.709991,705900
2017-03-29,275.000000,275.519989,271.290009,274.779999,274.779999,1010800
2017-03-30,275.149994,275.230011,270.609985,272.410004,272.410004,827900
