Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,69.037148,69.673996,68.938591,69.507202,45.995640,5791900
2016-01-05,69.552689,69.848373,69.067474,69.636086,46.080921,3760400
2016-01-06,68.824867,69.302505,68.286583,68.824867,45.544113,4858400
2016-01-07,67.695221,68.233513,66.838516,67.058380,44.375160,5949000
2016-01-08,67.247917,67.990906,66.937073,67.096283,44.400238,4415400
2016-01-11,67.361641,67.551178,66.421532,67.058380,44.375160,4395300
2016-01-12,67.952995,67.952995,66.262321,67.134193,44.425320,3822000
2016-01-13,67.604248,67.634575,65.496590,65.595146,43.406860,3924800
2016-01-14,65.633057,66.565582,65.056862,66.194084,43.803207,4063800
2016-01-15,65.155418,65.511749,64.495827,64.586807,42.739620,6418300
2016-01-19,65.466263,65.663383,64.177406,64.905228,42.950321,4429900
2016-01-20,64.033356,64.935555,63.305534,64.442757,42.644287,6241900
2016-01-21,64.131920,64.495827,63.570889,64.010612,42.358322,5075100
2016-01-22,64.859741,64.981049,64.230476,64.708115,42.819893,4687100
2016-01-25,64.723274,64.935555,63.866566,63.972706,42.333244,4108800
2016-01-26,62.843063,64.404854,61.599697,64.200150,42.483749,8640600
2016-01-27,64.200150,64.874908,63.419258,63.874146,42.268017,6406900
2016-01-28,64.275963,64.503410,63.684608,64.040939,42.378391,4709200
2016-01-29,64.473083,65.746780,64.063683,65.693710,43.472095,5972000
2016-02-01,65.519333,65.610313,64.677788,65.170586,43.125919,3599200
2016-02-02,64.329041,64.556480,63.714935,63.965126,42.328228,3550700
2016-02-03,64.533737,64.799088,63.229721,64.473083,42.664356,3245100
2016-02-04,64.336617,65.731613,64.298714,65.542076,43.371754,4046000
2016-02-05,65.223656,65.466263,64.184990,64.473083,42.664356,3988500
2016-02-08,64.086426,64.329041,62.827900,63.790752,42.212837,5931800
2016-02-09,63.131161,65.147842,62.964367,64.586807,42.739620,3399700
2016-02-10,64.988625,65.830177,64.465508,64.601974,42.749653,2858600
2016-02-11,63.388931,64.169823,62.820320,63.373768,41.936897,3769400
2016-02-12,63.957542,64.412437,63.510235,64.382111,42.604156,3396900
2016-02-16,65.337379,65.799850,65.056862,65.572403,43.391827,3781100
2016-02-17,65.989388,66.300224,65.686127,66.012131,43.682812,3414000
2016-02-18,65.663383,66.103111,65.564819,65.708870,43.482128,2278100
2016-02-19,65.633057,65.951477,65.223656,65.693710,43.472095,3464600
2016-02-22,66.338135,66.777863,66.224411,66.527672,44.023952,3003400
2016-02-23,66.209251,66.633812,65.784683,66.201668,43.808231,2403300
2016-02-24,65.837753,66.353294,65.443520,66.110687,43.748028,3622300
2016-02-25,66.110687,66.929489,65.898407,66.914330,44.279831,2802600
2016-02-26,67.134193,67.680061,66.944656,67.528427,44.686188,4099900
2016-02-29,67.369217,68.142532,67.187263,67.680061,44.786556,5795000
2016-03-01,68.134949,68.824867,67.960579,68.688400,45.453800,5182200
2016-03-02,68.514023,69.431389,68.339653,68.605003,45.398609,4417800
2016-03-03,68.885521,69.097801,68.438210,68.862778,45.569195,3466900
2016-03-04,68.976494,69.363152,68.423050,68.771797,45.508980,4546900
2016-03-07,68.407883,68.642914,68.157692,68.415466,45.273193,4424800
2016-03-08,68.127373,68.271416,67.316147,67.437454,44.625999,3980000
2016-03-09,67.801361,67.808945,66.944656,67.073540,44.385178,3470200
2016-03-10,67.604248,67.907509,66.959816,67.634575,44.756443,3715400
2016-03-11,68.362396,68.908264,68.097046,68.695984,45.458820,3780300
2016-03-14,68.658073,69.598183,68.271416,69.355576,45.895290,3652900
2016-03-15,69.173615,69.871117,69.067474,69.529945,46.010696,3547800
2016-03-16,69.484459,69.529945,68.870354,69.211525,45.799973,3119000
2016-03-17,69.294922,71.137222,69.173615,70.924942,46.933811,5688400
