Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,103.930000,104.330002,102.639999,104.250000,89.803696,896200
2016-01-05,104.500000,105.470001,103.139999,103.839996,89.450508,805200
2016-01-06,102.220001,102.220001,99.919998,100.309998,86.409637,1738700
2016-01-07,98.000000,99.419998,96.790001,97.129997,83.670326,1624200
2016-01-08,97.900002,99.360001,94.750000,94.940002,81.783783,1531200
2016-01-11,96.040001,96.180000,94.099998,95.660004,82.404037,1878500
2016-01-12,96.809998,96.980003,94.709999,96.150002,82.826111,1031800
2016-01-13,96.339996,96.459999,92.250000,92.410004,79.604401,2012400
2016-01-14,92.949997,96.199997,91.370003,95.089996,81.913010,1535100
2016-01-15,93.760002,93.930000,91.010002,92.830002,79.966209,1477800
2016-01-19,94.610001,94.610001,91.690002,92.540001,79.716385,1090900
2016-01-20,90.809998,92.610001,89.000000,91.610001,78.915260,1395000
2016-01-21,92.089996,93.199997,90.430000,90.570000,78.019379,1456600
2016-01-22,92.150002,93.610001,92.080002,93.250000,80.328003,1385700
2016-01-25,92.379997,93.150002,90.019997,90.320000,77.804008,1507100
2016-01-26,91.000000,92.949997,90.459999,92.360001,79.561325,1952500
2016-01-27,91.839996,94.720001,90.730003,91.110001,78.484528,2295000
2016-01-28,90.800003,92.930000,81.400002,86.919998,74.875145,4964300
2016-01-29,87.430000,90.680000,87.190002,90.650002,78.088287,2187700
2016-02-01,89.239998,90.290001,87.500000,87.790001,75.624611,1765400
2016-02-02,86.199997,86.370003,82.919998,83.940002,72.308113,2346700
2016-02-03,84.889999,85.510002,81.190002,84.820000,73.066170,2728700
2016-02-04,84.809998,86.209999,84.239998,85.470001,73.626099,1954200
2016-02-05,85.290001,85.980003,82.489998,82.790001,71.317482,1845400
2016-02-08,81.330002,82.110001,79.320000,80.769997,69.577393,2298800
2016-02-09,79.260002,80.489998,78.800003,79.169998,68.199120,1908900
2016-02-10,79.980003,81.470001,79.209999,80.309998,69.771584,2082900
2016-02-11,77.059998,78.129997,76.000000,76.269997,66.261719,2463000
2016-02-12,78.889999,80.389999,76.160004,80.150002,69.632591,2218400
2016-02-16,81.620003,83.269997,80.620003,82.919998,72.039101,1934500
2016-02-17,84.029999,85.419998,83.440002,84.970001,73.820122,1855200
2016-02-18,85.000000,85.480003,83.620003,84.279999,73.220650,2321000
2016-02-19,83.540001,83.690002,82.120003,82.690002,71.839302,1831000
2016-02-22,84.300003,85.190002,83.970001,84.540001,73.446533,2010500
2016-02-23,84.220001,84.309998,83.029999,83.430000,72.482185,1698400
2016-02-24,82.150002,83.790001,80.389999,83.430000,72.482185,1583600
2016-02-25,83.739998,84.800003,82.970001,84.370003,73.298843,1344000
2016-02-26,85.419998,87.339996,85.000000,86.489998,75.140656,1533300
2016-02-29,86.080002,86.419998,83.930000,83.949997,72.933937,1726800
2016-03-01,85.080002,88.160004,85.010002,88.010002,76.461197,1728700
2016-03-02,88.040001,88.160004,86.870003,87.889999,76.356941,1229700
2016-03-03,88.120003,89.919998,87.500000,89.540001,77.790413,1898100
2016-03-04,89.699997,90.699997,89.050003,90.459999,78.589706,1571500
2016-03-07,89.239998,89.910004,88.750000,89.760002,77.981560,1278900
2016-03-08,88.459999,89.680000,87.750000,88.820000,77.164902,1906500
2016-03-09,89.599998,89.599998,87.769997,88.660004,77.025909,1354300
2016-03-10,89.620003,89.879997,86.809998,88.459999,76.852142,1316700
2016-03-11,90.040001,92.680000,89.959999,92.599998,80.448891,1299800
2016-03-14,91.940002,92.440002,90.220001,91.830002,79.779922,1344300
2016-03-15,90.680000,90.750000,88.820000,90.099998,78.276939,1571400
2016-03-16,89.160004,91.709999,89.160004,91.440002,79.441093,1223400
2016-03-17,91.040001,94.120003,91.040001,93.379997,81.126526,1255900
2016-03-18,93.910004,95.239998,93.239998,94.360001,81.977943,3533100
2016-03-21,93.860001,94.529999,92.989998,94.139999,81.786804,970700
2016-03-22,92.989998,93.879997,92.519997,93.349998,81.100471,1166900
2016-03-23,93.480003,94.040001,92.389999,92.760002,80.587883,1541300
2016-03-24,91.400002,92.010002,90.650002,91.980003,79.910248,1951700
2016-03-28,92.000000,93.559998,91.449997,93.389999,81.135239,1350600
2016-03-29,92.639999,94.250000,91.150002,94.169998,81.812866,1344500
2016-03-30,95.000000,96.540001,94.879997,95.570000,83.029152,1992700
2016-03-31,95.110001,95.470001,93.510002,94.010002,81.673874,1959000
2016-04-01,93.699997,94.949997,92.489998,94.669998,82.247253,1491400
2016-04-04,94.370003,94.370003,92.889999,93.180000,80.952766,1482100
2016-04-05,91.629997,92.480003,90.879997,91.910004,79.849434,1652400
2016-04-06,92.470001,95.190002,92.440002,93.239998,81.004913,2739800
2016-04-07,92.070000,92.779999,90.110001,91.040001,79.093590,1694700
2016-04-08,91.849998,92.870003,91.050003,91.300003,79.319496,872800
2016-04-11,92.290001,93.570000,92.010002,92.550003,80.405449,1099000
2016-04-12,92.629997,94.269997,92.190002,94.169998,81.812866,1190800
2016-04-13,95.430000,97.639999,95.320000,97.629997,84.818840,1287700
2016-04-14,97.290001,98.129997,96.370003,97.139999,84.393127,1238700
2016-04-15,97.050003,97.449997,95.889999,96.419998,83.767616,965900
2016-04-18,96.000000,96.980003,95.540001,96.580002,83.906639,948900
2016-04-19,96.959999,97.070000,95.989998,96.839996,84.132523,960500
2016-04-20,97.209999,99.089996,96.709999,98.760002,85.800575,1204000
2016-04-21,99.099998,99.889999,98.279999,98.830002,85.861382,873100
2016-04-22,99.209999,100.389999,98.989998,99.919998,86.808350,957800
2016-04-25,99.309998,99.790001,98.019997,98.860001,85.887451,721100
2016-04-26,99.419998,100.300003,99.059998,100.239998,87.086349,831000
2016-04-27,99.790001,101.430000,98.529999,101.070000,87.807434,1104100
2016-04-28,100.309998,101.000000,97.760002,98.129997,85.253235,1161700
2016-04-29,97.480003,97.839996,95.440002,95.900002,83.315849,1585900
2016-05-02,96.089996,97.940002,95.110001,97.820000,84.983902,1436300
2016-05-03,95.839996,96.129997,94.010002,95.570000,83.029152,1404600
2016-05-04,94.599998,95.769997,93.709999,94.779999,82.342819,984000
2016-05-05,94.370003,95.050003,93.040001,93.169998,81.589722,1524600
2016-05-06,92.330002,93.379997,91.900002,93.250000,81.659775,1713300
2016-05-09,93.040001,93.400002,92.550003,92.930000,81.379539,1102500
2016-05-10,93.680000,95.489998,93.550003,95.220001,83.384911,1291800
2016-05-11,94.870003,96.080002,94.779999,95.169998,83.341133,1221500
2016-05-12,95.870003,96.709999,94.309998,95.339996,83.489990,1060300
2016-05-13,95.230003,96.449997,93.480003,93.830002,82.167694,1348100
2016-05-16,93.790001,95.169998,93.470001,94.559998,82.806946,1008400
2016-05-17,94.209999,96.230003,94.019997,95.089996,83.271072,1032700
2016-05-18,94.660004,97.620003,94.250000,97.529999,85.407806,1525800
2016-05-19,96.739998,97.980003,95.519997,96.610001,84.602165,1281000
2016-05-20,97.260002,98.239998,97.110001,97.669998,85.530396,883100
2016-05-23,97.379997,97.930000,96.919998,97.550003,85.425316,724100
2016-05-24,98.449997,99.930000,98.070000,99.769997,87.369377,953900
2016-05-25,100.169998,102.050003,100.010002,101.360001,88.761757,992600
2016-05-26,101.250000,101.269997,100.120003,100.169998,87.719673,845900
2016-05-27,100.440002,101.540001,99.790001,101.519997,88.901871,596700
2016-05-31,101.809998,102.309998,101.000000,101.669998,89.033234,1124000
2016-06-01,101.669998,102.739998,99.980003,102.349998,89.628708,1103900
2016-06-02,101.430000,102.129997,100.730003,102.019997,89.339714,698300
